QCOM,QUALCOMM Incorporated,20131125,Qualcomm faces antitrust probe in China ,Chinese regulators have launched an anti-trust investigation into Qualcomm  the U.S. mobile chipmaker said on Monday  and some experts suggested China's government may be seeking leverage in royalty negotiations.,topStory
QCOM,QUALCOMM Incorporated,20131125,UPDATE 4-Qualcomm faces antitrust probe in China ,Nov 25 Chinese regulators have launched an anti-trust investigation into Qualcomm  the U.S. mobile chipmaker said on Monday  and some experts suggested China's government may be seeking leverage in royalty negotiations.,normal
QCOM,QUALCOMM Incorporated,20131125,UPDATE 3-Qualcomm faces antitrust probe in China ,Nov 25 Qualcomm Inc said on Monday it faces an antitrust probe in China  sending its shares lower as investors worried the investigation could hurt the chipmaker's business in the fast-growing smartphone market.,normal
QCOM,QUALCOMM Incorporated,20131125,BRIEF-Qualcomm shares down 2.3 pct in premarket trading ,NEW YORK  Nov 25 Qualcomm Inc :  * Shares down 2.3 percent in premarket trading,normal
CG,The Carlyle Group LP,20131125,Carlyle raises $13 billion for U.S. private equity fund ,Nov 25 Carlyle Group LP said on Monday it has finished raising money for its latest U.S. private equity fund  surpassing its initial $10 billion fundraising target by $3 billion.,topStory
TCGP,The Carlyle Group LP,20131125,Carlyle raises $13 billion for U.S. private equity fund ,Nov 25 Carlyle Group LP said on Monday it has finished raising money for its latest U.S. private equity fund  surpassing its initial $10 billion fundraising target by $3 billion.,topStory
AA,Alcoa Corporation,20131125,BRIEF-Alcoa shares up 3.3 pct after Goldman raises to "buy" ,NEW YORK  Nov 25 Alcoa Inc :  * Shares up 3.3 percent after Goldman Sachs raises stock to "buy",topStory
AXE,Anixter International Inc,20131125,Fitch: Anixter's Dividend Announcement Has No Impact on Ratings ,(The following statement was released by the rating agency) NEW YORK  November 25 (Fitch) Fitch Ratings-New York-26 November 2013: Fitch  Ratings has stated that Anixter International  Inc.'s (Anixter) decision to  institute a special dividend of $5 per share  approximately $165 million in  total  will not impact the company's ratings. Fitch expects that the dividend  will be financed in part by existing cash as well as borrowings under the  company's credit facilities. Such actions coupled with,topStory
BAC,Bank of America Corporation,20131125,Spain's 'bad bank' sells loan bundle to Bank of America: sources ,MADRID Bank of America Merrill Lynch  has bought a small package of loans from Spain's so-called 'bad bank' Sareb  helping the vehicle to surpass year-end sales targets  two sources familiar with the situation said on Monday.,topStory
BAC,Bank of America Corporation,20131125,Spain's 'bad bank' sells loan bundle to Bank of America - sources ,MADRID  Nov 25 Bank of America Merrill Lynch  has bought a small package of loans from Spain's so-called 'bad bank' Sareb  helping the vehicle to surpass year-end sales targets  two sources familiar with the situation said on Monday.,normal
