PTCT,PTC Therapeutics Inc,20160223,UPDATE 2-PTC shares sink as FDA says application does not merit review ,* Shares fall as much as 53 pct   (Adds analysts' comment  updates shares),normal
SFLY,Shutterfly Inc,20160223,Thomas H. Lee approached Shutterfly with buyout proposal - sources ,Private equity firm Thomas H. Lee Partners LP has approached U.S. digital imaging company Shutterfly Inc  with a preliminary acquisition proposal  people familiar with the matter said on Tuesday.,topStory
SFLY,Shutterfly Inc,20160223,UPDATE 2-Thomas H. Lee approached Shutterfly with buyout proposal - sources ,Feb 23 Private equity firm Thomas H. Lee Partners LP has approached U.S. digital imaging company Shutterfly Inc with a preliminary acquisition proposal  people familiar with the matter said on Tuesday.,normal
SFLY,Shutterfly Inc,20160223,Thomas H. Lee approached Shutterfly with buyout proposal-sources ,Feb 23 Private equity firm Thomas H. Lee Partners LP has approached U.S. digital imaging company Shuttefly Inc with a preliminary acquisition proposal  people familiar with the matter said on Tuesday.,normal
TIG,TiGenix,20160223,BRIEF-Tigenix obtains commercial production license for CX601 ,* Says plan remains in line with expectation to make CX601 available to european patients in second half of 2017  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),topStory
FOX,Twenty-First Century Fox Inc,20160223,REFILE-UPDATE 2-Verizon redesigns its Fios Custom TV offering ,NEW YORK  Feb 19 Verizon Communications Inc   which launched its pay TV plan "Fios Custom TV" last year to let viewers choose bundles of channels they want to watch  has redesigned the offering.,normal
FOXA,Twenty-First Century Fox Inc,20160223,REFILE-UPDATE 2-Verizon redesigns its Fios Custom TV offering ,NEW YORK  Feb 19 Verizon Communications Inc   which launched its pay TV plan "Fios Custom TV" last year to let viewers choose bundles of channels they want to watch  has redesigned the offering.,normal
WDC,Western Digital Corporation,20160223,US STOCKS-Wall St drops as oil prices slide ,* Indexes down: Dow 0.37 pct  S&P 0.47 pct  Nasdaq 0.49 pct   (Updates to open),topStory
WDC,Western Digital Corporation,20160223,BRIEF-Unisplendour scraps plan to acquire stake in Western Digital ,Further company coverage:    (Reporting by Hong Kong newsroom),normal
BABA,Alibaba Group Holding Limited,20160223,UPDATE 3-Viacom weighs selling minority stake in Paramount film unit ,Feb 23 Viacom Inc is considering selling a "significant" minority stake in its Paramount Pictures movie studio  Chief Executive Philippe Dauman said on Tuesday,normal
T,AT&T Inc,20160223,AT&T says has edge in 5G due to expanded Internet access ,BARCELONA Commitments AT&T Inc made to build out fixed high-speed Internet services to gain regulatory approval for its $48.5 billion purchase of DIRECTV will give it the edge over U.S. rival Verizon Communications Inc in the roll-out of the next generation of cellular technology  AT&T's strategy chief said on Monday.,topStory
T,AT&T Inc,20160223,UPDATE 1-Israel's Team8 raises another $23 mln for cyber security firms ,TEL AVIV  Feb 23 Team8  an Israeli firm the creates cybersecurity companies  said on Tuesday it has raised $23 million from strategic partners  bringing the total amount raised so far to $40 million.,normal
T,AT&T Inc,20160223,UPDATE 1-AT&T says has edge in 5G due to expanded Internet access ,BARCELONA  Feb 22 Commitments AT&T Inc  made to build out fixed high-speed Internet services to gain regulatory approval for its $48.5 billion purchase of DIRECTV will give it the edge over U.S. rival Verizon Communications Inc  in the roll-out of the next generation of cellular technology  AT&T's strategy chief said on Monday.,normal
T,AT&T Inc,20160223,CORRECTED-AT&T says has edge in 5G due to expanded Internet access ,BARCELONA  Feb 22 Commitments AT&T Inc  made to build out fixed high-speed Internet services to gain regulatory approval for its $48.5 billion purchase of DIRECTV will give it the edge over U.S. rival Verizon in the roll-out of the next generation of cellular technology  AT&T's strategy chief said on Monday.,normal
BNS,Bank of Nova Scotia (The),20160223,UPDATE 1-Scotiabank approaches BOC unit  other lenders for Thai bank stake sale-sources ,* Scotiabank's strategy to exit Asia retail business-source   (Adds detail on Scotiabank  quote from source),topStory
BNS,Bank of Nova Scotia (The),20160223,Scotiabank approaches BOC unit  other lenders for Thai bank stake sale-sources ,SINGAPORE/HONG KONG  Feb 23 Canada's Bank of Nova Scotia has approached a unit of Bank of China   Fubon Financial Holdings  Maybank  and Japanese lenders to gauge interest for its $1.7 billion stake in Thai lender Thanachart  people familiar with the matter said.,normal
BBL,BHP Billiton plc,20160223,BHP Billiton slashes dividend  posts $5.67 billion net loss ,SYDNEY Top global miner BHP Billiton   slashed its interim dividend by 75 percent on Tuesday  abandoning a long-held policy of steady or higher payouts as it braces for a longer-than-expected commodities downturn. | Video ,topStory
BBL,BHP Billiton plc,20160223,European shares weighed down by StanChart  BHP; exchange operators rise ,* StanChart  BHP down after disappointing updates   (Adds details  updates share prices),normal
BBL,BHP Billiton plc,20160223,Britain's FTSE hit by drops at StanChart and BHP Billiton ,* BHP Billiton drops after slashing dividend   (Adds company news  updates prices),normal
BBL,BHP Billiton plc,20160223,European shares fall as BHP  StanChart updates weigh ,* Italian banks rally help sector outperform   (Adds details  updates prices),normal
BBL,BHP Billiton plc,20160223,European shares fall as BHP  StanChart updates weigh ,LONDON  Feb 23 European shares retreated on Tuesday  with falling commodities prices and disappointing updates from Standard Chartered and BHP Billiton  putting pressure on the market.,normal
BBL,BHP Billiton plc,20160223,Britain's FTSE felled by drops at StanChart and BHP Billiton ,LONDON  Feb 23 Britain's top share index fell on Tuesday as a slump in major bank Standard Chartered and miner BHP Billiton pushed back the market after gains in the previous session.,normal
BBL,BHP Billiton plc,20160223,UPDATE 3-BHP Billiton slashes dividend  posts $5.67 bln net loss ,* Sees prolonged period of weak commodity prices   (Adds quote  details  share price),normal
BA,Boeing Company (The),20160223,UPDATE 1-FAA proposes fix for Boeing 787 Dreamliner ,Feb 23 The U.S. Federal Aviation Administration proposed a new airworthiness directive (AD) for some of Boeing Co's 787-8 Dreamliner aircraft after a report found a defect in a wing component.,topStory
BA,Boeing Company (The),20160223,China's Comac aims for first C919 flight by early 2017: sources ,SINGAPORE Commercial Aircraft Corp of China Ltd (Comac) aims to conduct the first flight of its much-delayed C919 passenger jet around the end of 2016 to early 2017  people close to the aircraft programme told Reuters.,normal
BA,Boeing Company (The),20160223,China's Comac aims for first C919 flight by early 2017 -sources ,SINGAPORE  Feb 23 Commercial Aircraft Corp of China Ltd (Comac) aims to conduct the first flight of its much-delayed C919 passenger jet around the end of 2016 to early 2017  people close to the aircraft programme told Reuters.,normal
BA,Boeing Company (The),20160223,UPDATE 1-U.S. official never disclosed wife's Northrop account -documents ,WASHINGTON  Feb 22 A U.S. Air Force arms buyer under investigation for violating financial disclosure rules never reported his wife's retirement account with Northrop Grumman Corp after their marriage in 2008  public disclosure forms seen by Reuters showed.,normal
BAM,Brookfield Asset Management Inc,20160223,UPDATE 2-Australia's Asciano says suitors weigh truce  $6.5 bln joint bid ,* Move could circumvent regulatory hurdles - lawyers   (Recasts  adds quotes  shares),topStory
