AHPI,Allied Healthcare Products Inc,20151201,BRIEF-Aurelius acquires Allied Healthcare from Saga Plc ,* Acquisition of Allied Healthcare  combined with 10 other successful investments in 2015  will take Aurelius' annualised sales to over 3 billion euros ($3.18 billion)  Source text for Eikon:  Further company coverage:   ($1 = 0.9434 euros)   (Gdynia Newsroom),topStory
GOOG,Alphabet Inc,20151201,Ryanair to sue Google in Irish court over 'misleading adverts' ,Ryanair has launched legal proceedings against Google and online travel agent eDreams  in the Irish High Court over what it says are misleading adverts for Ryanair flights  the airline said on Tuesday.,topStory
GOOG,Alphabet Inc,20151201,UPDATE 1-Ryanair to sue Google in Irish court over 'misleading adverts' ,LONDON  Dec 1 Ryanair has launched legal proceedings against Google and online travel agent eDreams in the Irish High Court over what it says are misleading adverts for Ryanair flights  the airline said on Tuesday.,normal
GOOG,Alphabet Inc,20151201,BRIEF-Ryanair says takes legal case against eDreams and Google ,* Ryanair launches High Court action on behalf of consumers to prevent eDreams and Google deceiving consumers with misleading adverts and false prices,normal
GOOGL,Alphabet Inc,20151201,Ryanair to sue Google in Irish court over 'misleading adverts' ,Ryanair has launched legal proceedings against Google and online travel agent eDreams  in the Irish High Court over what it says are misleading adverts for Ryanair flights  the airline said on Tuesday.,topStory
GOOGL,Alphabet Inc,20151201,UPDATE 1-Ryanair to sue Google in Irish court over 'misleading adverts' ,LONDON  Dec 1 Ryanair has launched legal proceedings against Google and online travel agent eDreams in the Irish High Court over what it says are misleading adverts for Ryanair flights  the airline said on Tuesday.,normal
GOOGL,Alphabet Inc,20151201,BRIEF-Ryanair says takes legal case against eDreams and Google ,* Ryanair launches High Court action on behalf of consumers to prevent eDreams and Google deceiving consumers with misleading adverts and false prices,normal
AMZN,Amazoncom Inc,20151201,Amazon gadget sales more than triple over Thanksgiving weekend ,Amazon.com Inc said sales of its electronic gadgets more than tripled over the Thanksgiving weekend from last year  with the Fire tablet the top-selling product. | Video ,topStory
AMZN,Amazoncom Inc,20151201,RPT-Protecting forests must become the norm in supply chains - prince ,* Business value of forests estimated at $150 billion annually,normal
AMZN,Amazoncom Inc,20151201,Amazon gadget sales more than triple over Thanksgiving weekend ,Dec 1 Amazon.com Inc said sales of its electronic gadgets more than tripled over the Thanksgiving weekend from last year  with the Fire tablet the top-selling product.,normal
AMZN,Amazoncom Inc,20151201,Target website stumbles on Cyber Monday  rivals out of stock ,CHICAGO U.S. shoppers seeking to avoid the holiday crowds at bricks-and-mortar stores and snare deals on Cyber Monday came face-to-face with traffic jams and product sellouts  with some customers of Target Corp forced to wait in a virtual line. | Video ,normal
AMZN,Amazoncom Inc,20151201,UPDATE 3-Target website stumbles on Cyber Monday  rivals out of stock ,CHICAGO  Nov 30 U.S. shoppers seeking to avoid the holiday crowds at bricks-and-mortar stores and snare deals on Cyber Monday came face-to-face with traffic jams and product sellouts  with some customers of Target Corp forced to wait in a virtual line.,normal
AMAT,Applied Materials Inc,20151201,BRIEF-Taiwan's UMC orders machinery from Applied Materials ,* Says orders machinery equipment worth T$557.8 million  ($17.05 million),topStory
BIDU,Baidu Inc,20151201,Fitch Affirms Baidu at 'A' with Stable Outlook ,(The following statement was released by the rating agency) HONG KONG/SEOUL/SYDNEY  December 01 (Fitch) Fitch Ratings has affirmed  China-based Baidu  Inc.'s (Baidu) Long-Term Foreign- and Local-Currency Issuer  Default Ratings (IDRs) of 'A' and foreign-currency senior unsecured rating of  'A'. The Outlook is Stable. KEY RATING DRIVERS Leading Market Position: The ratings reflect Baidu's dominant internet search  engine market position in China. Baidu remains the default choice for  advertisers ,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20151201,UPDATE 2-Bank of England's Carney says UK banks' job almost done on capital ,* Further increases in capital will only be incremental   (Adds more reaction),normal
CYAD,Celyad SA,20151201,BRIEF-Celyad treats first patient in second cohort of NKG2D CAR T-Cell Phase I Trial ,* Treats the first patient in the second cohort of its NKG2D CAR T-Cell Phase I Trial  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),topStory
COST,Costco Wholesale Corporation,20151201,Costco says pipeline tariff would add to cost of cheap gas ,HOUSTON  Dec 1 Costco Wholesale Corp  which sells some of the cheapest gasoline in the country  says a revised tariff overhaul on the giant Colonial Pipeline would add to its costs of providing gasoline.,topStory
DISCA,Discovery Communications Inc,20151201,Discovery launches streaming service for pay TV subscribers ,Discovery Communications Inc launched its own streaming service on Tuesday to offer more options for cable and satellite TV subscribers.,topStory
DISCA,Discovery Communications Inc,20151201,Discovery launches streaming service for pay TV subscribers ,Dec 1 Discovery Communications Inc  launched its own streaming service on Tuesday to offer more options for cable and satellite TV subscribers.,normal
DISCB,Discovery Communications Inc,20151201,Discovery launches streaming service for pay TV subscribers ,Discovery Communications Inc launched its own streaming service on Tuesday to offer more options for cable and satellite TV subscribers.,topStory
DISCB,Discovery Communications Inc,20151201,Discovery launches streaming service for pay TV subscribers ,Dec 1 Discovery Communications Inc  launched its own streaming service on Tuesday to offer more options for cable and satellite TV subscribers.,normal
DISCK,Discovery Communications Inc,20151201,Discovery launches streaming service for pay TV subscribers ,Discovery Communications Inc launched its own streaming service on Tuesday to offer more options for cable and satellite TV subscribers.,topStory
DISCK,Discovery Communications Inc,20151201,Discovery launches streaming service for pay TV subscribers ,Dec 1 Discovery Communications Inc  launched its own streaming service on Tuesday to offer more options for cable and satellite TV subscribers.,normal
EML,Eastern Company (The),20151201,Egypt's Eastern Company appoints new chairman ,CAIRO  Dec 1 Eastern Co has appointed Mohamed Othman Haroun as chairman to replace Nabil Abdel Aziz  Egypt's top cigarette maker said on Tuesday in a statement on the Egyptian bourse.   (Reporting by Eric Knecht; editing by Jason Neely),topStory
ERIC,Ericsson,20151201,BRIEF-Hexatronic Group makes final payment to Ericsson ,* Makes final payment of purchase price to Ericsson of 32 million Swedish crowns,topStory
EXPE,Expedia Inc,20151201,Fitch Rates Expedia's Announced Senior Unsecured Notes 'BBB-' ,(The following statement was released by the rating agency) NEW YORK  December 01 (Fitch) Fitch Ratings has assigned a 'BBB-' rating to  Expedia  Inc.'s (Expedia) announced issuance of senior unsecured notes. A full  list of ratings follows at the end of this release. Expedia plans to use the note proceeds for a portion of the HomeAway acquisition  and other general corporate purposes. KEY RATING DRIVERS Fitch calculates pro forma unadjusted leverage of 2.3x for the notes offering  and all three,topStory
