C,Citigroup Inc,20150819,Citigroup to pay $15 million to settle U.S. compliance charges ,WASHINGTON A unit of Citigroup Inc  will pay $15 million to settle civil charges alleging it failed to enforce policies designed to prevent and detect insider trading  U.S. regulators said.,topStory
C,Citigroup Inc,20150819,Citigroup to pay $15 mln to settle U.S. compliance charges ,WASHINGTON A unit of Citigroup Inc will pay $15 million to settle civil charges alleging it failed to enforce policies designed to prevent and detect insider trading  U.S. regulators said.,normal
C,Citigroup Inc,20150819,UPDATE 1-Citigroup to pay $15 mln to settle U.S. compliance charges ,WASHINGTON  Aug 19 A unit of Citigroup Inc  will pay $15 million to settle civil charges alleging it failed to enforce policies designed to prevent and detect insider trading  U.S. regulators said.,normal
C,Citigroup Inc,20150819,Citigroup to pay $15 mln to settle U.S. SEC charges over compliance failures ,WASHINGTON  Aug 19 A unit of Citigroup Inc  will pay $15 million to settle civil charges alleging it failed to enforce policies designed to prevent and detect insider trading  U.S. regulators said.,normal
C,Citigroup Inc,20150819,Petrobras may replace fuel unit CEO ahead of IPO  paper says ,SAO PAULO  Aug 19 State-controlled Brazilian oil producer Petróleo Brasileiro SA  plans to replace the head of fuel distribution subsidiary BR Distribuidora SA ahead of an initial public offering plan for the unit this year  Valor Econômico newspaper said on Wednesday.,normal
KO,Coca-Cola Company (The),20150819,Coke takes minority stake in organic juice maker Suja ,Suja Life LLC said on Wednesday that it had sold minority stakes to Goldman Sachs Group Inc's  merchant banking division and to Coca-Cola Co   which will distribute its organic juices and smoothies.,topStory
KO,Coca-Cola Company (The),20150819,UPDATE 2-Coke takes minority stake in organic juice maker Suja ,Aug 19 Suja Life LLC said on Wednesday that it had sold minority stakes to Goldman Sachs Group Inc's  merchant banking division and to Coca-Cola Co  which will distribute its organic juices and smoothies.,normal
KO,Coca-Cola Company (The),20150819,Coke takes minority stake in organic juice maker Suja Life ,Aug 19 Juice maker Suja Life LLC said Coca-Cola Co had bought a minority stake in the company and will distribute its products.,normal
EGO,Eldorado Gold Corporation,20150819,UPDATE 1-Greece halts activity at Canadian-run gold mine ,ATHENS  Aug 19 Greece has suspended the mining operations of Canada's Eldorado Gold in northern Greece  saying the company violated contract terms  in a setback to one of the top foreign investment projects in the country.,topStory
EGO,Eldorado Gold Corporation,20150819,Greece halts activity at Canadian-run gold mine-minister ,ATHENS  Aug 19 Greece's government is halting activity at a Canadian company Eldorado Gold's gold mine operations in northern Greece because it has violated some terms  Energy Minister Panos Skourletis said on Wednesday.,normal
EMR,Emerson Electric Company,20150819,BRIEF-U.S. appeals court clears Emerson in patent infringement case ,* Cleared in patent infringement case over heating and cooling system technology - U.S. Appeals court decision,topStory
FBR,Fibria Celulose SA,20150819,Brazil's Fibria to raise wood pulp prices in September ,SAO PAULO  Aug 19 Fibria SA  the world's largest producer of eucalyptus pulp  will raise its prices by $20 per tonne at the start of September  a press representative told Reuters on Wednesday.   (Reporting by Alberto Alerigi Jr.),topStory
GZT,Gazit-Globe Ltd,20150819,Israeli real estate developer Gazit-Globe Q2 profit slips ,JERUSALEM  Aug 19 Gazit-Globe  Israel's largest real estate investment company  reported slightly lower second-quarter profit as currency effects offset higher rental income.,topStory
GM,General Motors Company,20150819,GM extends Oshawa assembly line operations until 2017 ,TORONTO General Motors Co  will keep an Oshawa  Ontario assembly line operating until 2017  the company's Canadian unit said on Wednesday  extending the life of a line that has been repeatedly scheduled for closure over the last decade.,topStory
GM,General Motors Company,20150819,GM extends Oshawa assembly line operations until 2017 ,TORONTO  Aug 19 General Motors Co will keep an Oshawa  Ontario assembly line operating until 2017  the company's Canadian unit said on Wednesday  extending the life of a line that has been repeatedly scheduled for closure over the last decade.,normal
GS,Goldman Sachs Group Inc (The),20150819,JPMorgan  Goldman Sachs  Morgan Stanley to form data company: WSJ ,JPMorgan Chase & Co   Goldman Sachs Group Inc  and Morgan Stanley  are working to create a company that will pull together and clean reams of data used to determine pricing and transaction costs  the Wall Street Journal reported.,topStory
GS,Goldman Sachs Group Inc (The),20150819,JPMorgan  Goldman Sachs  Morgan Stanley to form data company-WSJ ,Aug 19 JPMorgan Chase & Co  Goldman Sachs Group Inc and Morgan Stanley are working to create a company that will pull together and clean reams of data used to determine pricing and transaction costs  the Wall Street Journal reported.,normal
GS,Goldman Sachs Group Inc (The),20150819,Goldman Sachs's unit obtains Hong Kong banking license ,HONG KONG A wholly-owned unit of Goldman Sachs Group  received a banking license from The Hong Kong Monetary Authority (HKMA)  the HKMA announced on Wednesday  in a step that creates a local subsidiary through which the U.S investment bank can book its trades.,normal
GS,Goldman Sachs Group Inc (The),20150819,Goldman Sachs's unit obtains Hong Kong banking license ,HONG KONG  Aug 19 A wholly-owned unit of Goldman Sachs Group received a banking license from The Hong Kong Monetary Authority (HKMA)  the HKMA announced on Wednesday  in a step that creates a local subsidiary through which the U.S investment bank can book its trades.,normal
HD,Home Depot Inc (The),20150819,UPDATE 4-Lowe's sales beat on demand for appliances  outdoor equipment ,* Profit $1.20/share vs est. $1.24   (Adds CEO comment  details; updates shares),normal
ICE,Intercontinental Exchange Inc,20150819,BRIEF-ICE inches up margins for coffee  sugar ,Aug 19 Intercontinental Exchange Inc <ICE clear U.S..N>:,topStory
JPM,J P Morgan Chase & Co,20150819,JPMorgan  Goldman Sachs  Morgan Stanley to form data company: WSJ ,JPMorgan Chase & Co   Goldman Sachs Group Inc  and Morgan Stanley  are working to create a company that will pull together and clean reams of data used to determine pricing and transaction costs  the Wall Street Journal reported.,topStory
JPM,J P Morgan Chase & Co,20150819,UPDATE 3-Bank of NY Mellon sued by U.S. regulator over $2 bln in soured mortgages ,* Defendants are accused of shirking duties as bond trustees   (Adds US Bancorp response),normal
JPM,J P Morgan Chase & Co,20150819,JPMorgan  Goldman Sachs  Morgan Stanley to form data company-WSJ ,Aug 19 JPMorgan Chase & Co  Goldman Sachs Group Inc and Morgan Stanley are working to create a company that will pull together and clean reams of data used to determine pricing and transaction costs  the Wall Street Journal reported.,normal
LOW,Lowe&#39;s Companies Inc,20150819,Lowe's sales beat on demand for appliances  outdoor equipment ,Lowe's Cos Inc   the No.2 U.S. home improvement chain  reported stronger-than-expected growth in quarterly same-store sales as customers bought more expensive items in categories such as appliances and outdoor power equipment.,topStory
LOW,Lowe&#39;s Companies Inc,20150819,UPDATE 4-Lowe's sales beat on demand for appliances  outdoor equipment ,* Profit $1.20/share vs est. $1.24   (Adds CEO comment  details; updates shares),normal
LOW,Lowe&#39;s Companies Inc,20150819,Home improvement chain Lowe's sales rise 4.5 pct ,Aug 19 Lowe's Cos Inc  the No.2 U.S. home improvement chain  reported a 4.5 percent rise in quarterly sales as demand rose for products such as appliances and outdoor power equipment.,normal
MPC,Marathon Petroleum Corporation,20150819,Marathon may step away from refineries to add alkylate capacity ,HOUSTON  Aug 19 The biggest refiner in the U.S. Midwest is eyeing an unusual place to make more of a key ingredient for premium gasoline: the natural gas fields of eastern Ohio instead of an urban refinery.,topStory
MS,Morgan Stanley,20150819,JPMorgan  Goldman Sachs  Morgan Stanley to form data company: WSJ ,JPMorgan Chase & Co   Goldman Sachs Group Inc  and Morgan Stanley  are working to create a company that will pull together and clean reams of data used to determine pricing and transaction costs  the Wall Street Journal reported.,topStory
MS,Morgan Stanley,20150819,JPMorgan  Goldman Sachs  Morgan Stanley to form data company-WSJ ,Aug 19 JPMorgan Chase & Co  Goldman Sachs Group Inc and Morgan Stanley are working to create a company that will pull together and clean reams of data used to determine pricing and transaction costs  the Wall Street Journal reported.,normal
MSI,Motorola Solutions Inc,20150819,Deals of the day- Mergers and acquisitions ,Aug 19 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Wednesday:,topStory
MSCI,MSCI Inc,20150819,A Peru stock exchange downgrade would likely trigger large outflows -bourse ,LIMA  Aug 19 Any downgrade of Peru's stock exchange to "frontier market" status by index provider MSCI Inc would likely trigger a capital outflow of $1.5 billion to $5 billion within three months  the head of Peru's bourse said on Wednesday.,topStory
SID,National Steel Company,20150819,Brazil's CSN mulls Rothschild or Lazard for asset sales-source ,SAO PAULO  Aug 19 Cia Siderúrgica Nacional SA   the debt-laden Brazilian steelmaker  is likely to decide between global advisory firms Rothschild and Lazard Ltd  to coordinate the sale of some non-essential assets  a source with knowledge of the situation said on Wednesday.,topStory
NOK,Nokia Corporation,20150819,BRIEF-Nokia wins approval for Alcatel-Lucent deal in India ,* Nokia has earlier received approvals from regulators such as European Commission and United States,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150819,UPDATE 1-Petrobras says not in negotiation to settle with U.S. authorities ,SAO PAULO  Aug 19 Brazil's state-run oil firm Petroleo Brasileiro SA said in a securities filing on Wednesday it was not in negotiation to pay a fine to settle criminal and civil investigations in the United States.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150819,Petrobras says not in negotiation to settle with U.S. authorities ,SAO PAULO  Aug 19 Brazil's state-run oil firm Petroleo Brasileiro SA said in a securities filing on Wednesday it was not in negotiation to pay a fine to settle criminal and civil investigations in the United States.,normal
