AZN,Astrazeneca PLC,20140509,Pfizer under fire in Europe  U.S. as it weighs next Astra move ,LONDON U.S. drugmaker Pfizer  is under fire on both sides of the Atlantic as it weighs its next move to buy British rival AstraZeneca   which could be a sweetened offer next week.,topStory
AZN,Astrazeneca PLC,20140509,Pfizer under fire in Europe  U.S. as it weighs next Astra move ,* Pfizer may delay any new bid until after meeting UK lawmakers,normal
AZN,Astrazeneca PLC,20140509,Pfizer signs rare diseases deal with UK universities ,LONDON U.S. drugmaker Pfizer  battling to buy British rival AstraZeneca  has struck a deal with leading British universities to hunt for new medicines to treat rare diseases.,normal
AZN,Astrazeneca PLC,20140509,Pfizer signs rare diseases deal with UK universities ,LONDON  May 9 U.S. drugmaker Pfizer  battling to buy British rival AstraZeneca  has struck a deal with leading British universities to hunt for new medicines to treat rare diseases.,normal
AZN,Astrazeneca PLC,20140509,Britain wants binding pledges from Pfizer on AstraZeneca bid ,LONDON The British government needs to be confident that any commitments made by Pfizer  in a proposed takeover of AstraZeneca  are binding  British Deputy Prime Minister Nick Clegg said on Friday.,normal
AZN,Astrazeneca PLC,20140509,UPDATE 1-Britain wants binding pledges from Pfizer on AstraZeneca bid ,LONDON  May 9 The British government needs to be confident that any commitments made by Pfizer in a proposed takeover of AstraZeneca are binding  British Deputy Prime Minister Nick Clegg said on Friday.,normal
AZN,Astrazeneca PLC,20140509,Britain wants binding pledges from Pfizer on AstraZeneca bid ,LONDON  May 9 The British government needs to be confident that any commitments made by Pfizer in a proposed takeover of AstraZeneca are binding  British Deputy Prime Minister Nick Clegg said on Friday.,normal
AZN,Astrazeneca PLC,20140509,Maryland  Delaware governors concerned about Pfizer-Astra deal ,The governors of Maryland and Delaware on Thursday sent a letter to Pfizer Inc  Chief Executive Officer Ian Read "expressing deep concerns" about the pharmaceutical company's bid to acquire London-based AstraZeneca Plc .,normal
AZN,Astrazeneca PLC,20140509,UPDATE 1-Maryland  Delaware governors concerned about Pfizer-Astra deal ,May 8 The governors of Maryland and Delaware on Thursday sent a letter to Pfizer Inc Chief Executive Officer Ian Read "expressing deep concerns" about the pharmaceutical company's bid to acquire London-based AstraZeneca Plc.,normal
AZN,Astrazeneca PLC,20140509,Maryland  Delaware governors concerned about Pfizer-Astra deal ,May 8 The governors of Maryland and Delaware on Thursday sent a letter to Pfizer Inc Chief Executive Officer Ian Read "expressing deep concerns" about the pharmaceutical company's bid to acquire London-based AstraZeneca Plc.,normal
