DFVL,iPath US Treasury 5-year Bull ETN,20140811,FT's former CEO joins race for Barclays' top job: Sunday Times ,The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140811,FT's former CEO joins race for Barclays' top job - Sunday Times ,Aug 11 The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,normal
FLAT,iPath US Treasury Flattener ETN,20140811,FT's former CEO joins race for Barclays' top job: Sunday Times ,The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,topStory
FLAT,iPath US Treasury Flattener ETN,20140811,FT's former CEO joins race for Barclays' top job - Sunday Times ,Aug 11 The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140811,FT's former CEO joins race for Barclays' top job: Sunday Times ,The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140811,FT's former CEO joins race for Barclays' top job - Sunday Times ,Aug 11 The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,normal
STPP,iPath US Treasury Steepener ETN,20140811,FT's former CEO joins race for Barclays' top job: Sunday Times ,The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,topStory
STPP,iPath US Treasury Steepener ETN,20140811,FT's former CEO joins race for Barclays' top job - Sunday Times ,Aug 11 The former chief executive of the Financial Times  Rona Fairhead  and the former deputy governor of the Bank of England  Howard Davies  are contesting to be Barclays Plc's next chairman  the Sunday Times reported  citing sources.,normal
MGIC,Magic Software Enterprises Ltd,20140811,Norway's Nico & Vinz storm to top of British music charts ,LONDON Norwegian double act Nico & Vinz shot to the top of Britain's music charts on Sunday as their single "Am I Wrong" outsold last week's chart-toppers Magic!  the Official Charts Company said on Sunday.,topStory
MNKD,MannKind Corporation,20140811,US STOCKS-Wall St up for second straight session in broad rally ,* Indexes up: Dow 0.4 pct  S&P 0.6 pct  Nasdaq 1 pct   (Updates to midday trading),topStory
MNKD,MannKind Corporation,20140811,US STOCKS-Wall St up for 2nd day as Ukraine tensions ease ,* Indexes up: Dow 0.3 pct  S&P 0.5 pct  Nasdaq 0.6 pct   (Updates to market open  adds analyst comment),normal
MNKD,MannKind Corporation,20140811,US STOCKS-Futures higher as Ukraine tensions ease ,NEW YORK  Aug 11 U.S. stock index futures were higher on Monday  indicating that Friday's sharp rally could continue as it appeared less likely that the tense situation between Russia and Ukraine would escalate.,normal
MNKD,MannKind Corporation,20140811,UPDATE 2-Sanofi bets on inhaled insulin with MannKind deal ,* MannKind gets $150 mln upfront  up to $775 mln in milestones,normal
MNKD,MannKind Corporation,20140811,REFILE-UPDATE 1-Sanofi bets on inhaled insulin with up to $925 mln MannKind deal ,* MannKind gets $150 mln upfront  up to $775 mln in milestones,normal
MNKD,MannKind Corporation,20140811,Sanofi  MannKind agree licensing deal for Afrezza insulin ,PARIS  Aug 11 French drugmaker Sanofi  and MannKind Corp have agreed a worldwide licensing deal to develop and market inhaled insulin therapy Afrezza for adults with diabetes.,normal
NIHD,NII Holdings Inc,20140811,Latin American telecom firm NII Holdings may seek bankruptcy ,Mobile service provider NII Holdings Inc  reporting its ninth quarterly loss in a row  said on Monday it may have to file for bankruptcy after struggling to compete in Brazil and Mexico.,topStory
NIHD,NII Holdings Inc,20140811,UPDATE 1-Latin American telecom firm NII Holdings may seek bankruptcy ,Aug 11 Mobile service provider NII Holdings Inc   reporting its ninth quarterly loss in a row  said on Monday it may have to file for bankruptcy after struggling to compete in Brazil and Mexico.,normal
NIHD,NII Holdings Inc,20140811,BUZZ-NII Holdings: Says may file for bankruptcy ,Aug 11    ** Mobile service provider's shares  down 52.7 pct at $0.31,normal
NUAN,Nuance Communications Inc,20140811,Nuance fourth-quarter forecast misses expectations ,Speech recognition software maker Nuance Communications Inc forecast current-quarter adjusted revenue and profit below expectations as the company continues to struggle from its transition to a subscription-based business model.,topStory
NUAN,Nuance Communications Inc,20140811,UPDATE 2-Nuance 4th-qtr forecast misses expectations ,Aug 11 Speech recognition software maker Nuance Communications Inc forecast current-quarter adjusted revenue and profit below expectations as the company continues to struggle from its transition to a subscription-based business model.,normal
TSLA,Tesla Inc ,20140811,Consumer Reports: Tesla Model S has 'more than its share of problems' ,DETROIT Consumer Reports  which last year gave top marks to electric carmaker Tesla Motors Inc's  Model S sedan  now says the car it owns has had "more than its share of problems.",topStory
TSLA,Tesla Inc ,20140811,UPDATE 1-Consumer Reports: Tesla Model S has 'more than its share of problems' ,DETROIT  Aug 11 Consumer Reports  which last year gave top marks to electric carmaker Tesla Motors Inc's  Model S sedan  now says the car it owns has had "more than its share of problems.",normal
TSLA,Tesla Inc ,20140811,REFILE-Consumer Reports: Tesla Model S has 'more than its share of problems' ,DETROIT  Aug 11 Consumer Reports  which last year gave top marks to electric carmaker Tesla Motors Inc's  Model S sedan  now says the car it owns has had "more than its share of problems.",normal
FOX,Twenty-First Century Fox Inc,20140811,ValueAct takes $1 billion stake in 21st Century Fox ,Hedge fund ValueAct Capital LLC said it had taken a $1 billion stake in Rupert Murdoch-controlled film and TV company Twenty-First Century Fox Inc FOXA.O.,topStory
FOX,Twenty-First Century Fox Inc,20140811,UPDATE 2-ValueAct takes $1 bln stake in 21st Century Fox ,Aug 11 Hedge fund ValueAct Capital LLC said it had taken a $1 billion stake in Rupert Murdoch-controlled film and TV company Twenty-First Century Fox Inc.,normal
