NDSN,Nordson Corporation,20170220,BRIEF-Nordson reports Q1 GAAP EPS $0.86 ,* Nordson Corp reports record first quarter sales and diluted earnings per share,normal
NTRS,Northern Trust Corporation,20170220,Northern Trust buys UBS Asset Management administration units ,ZURICH U.S.-based Northern Trust  is buying UBS Group's  UBS Asset Management fund administration servicing units in Luxembourg and Switzerland  UBS said in a statement on Monday.,topStory
NTRS,Northern Trust Corporation,20170220,Northern Trust buys UBS Asset Management administration units ,ZURICH  Feb 20 U.S.-based Northern Trust  is buying UBS Group's UBS Asset Management fund administration servicing units in Luxembourg and Switzerland  UBS said in a statement on Monday.,normal
NTRS,Northern Trust Corporation,20170220,BRIEF-Northern Trust to acquire fund services units of UBS in Luxembourg and Switzerland ,* Northern Trust to acquire fund services units of UBS in Luxembourg and Switzerland,normal
NTRSP,Northern Trust Corporation,20170220,Northern Trust buys UBS Asset Management administration units ,ZURICH U.S.-based Northern Trust  is buying UBS Group's  UBS Asset Management fund administration servicing units in Luxembourg and Switzerland  UBS said in a statement on Monday.,topStory
NTRSP,Northern Trust Corporation,20170220,Northern Trust buys UBS Asset Management administration units ,ZURICH  Feb 20 U.S.-based Northern Trust  is buying UBS Group's UBS Asset Management fund administration servicing units in Luxembourg and Switzerland  UBS said in a statement on Monday.,normal
NTRSP,Northern Trust Corporation,20170220,BRIEF-Northern Trust to acquire fund services units of UBS in Luxembourg and Switzerland ,* Northern Trust to acquire fund services units of UBS in Luxembourg and Switzerland,normal
ONCE,Spark Therapeutics Inc,20170220,Spark asks court to suspend Sky takeover of Vodafone NZ ,WELLINGTON Telecommunications company Spark  has asked a New Zealand court to rule a 36-hour pause must take place before Sky Network Television  can buy Vodafone's New Zealand unit  if the competition regulator approves the deal.,topStory
ONCE,Spark Therapeutics Inc,20170220,UPDATE 2-Spark asks court to suspend Sky takeover of Vodafone NZ ,WELLINGTON  Feb 20 Telecommunications company Spark has asked a New Zealand court to rule a 36-hour pause must take place before Sky Network Television can buy Vodafone's New Zealand unit if the competition regulator approves the deal.,normal
TECD,Tech Data Corporation,20170220,EU mergers and takeovers (Feb 20) ,BRUSSELS  Feb 20 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
