GOOG,Alphabet Inc,20110706,Facebook launches video chat with Skype ,PALO ALTO  California Facebook will add Skype video chat to its pages  aiming to spice up the appeal of the world's No. 1 Internet social networking service while fending off increased competition from Google. | Video ,topStory
GOOG,Alphabet Inc,20110706,UPDATE 5-Facebook launches video chat with Skype , * Microsoft  Google shares rise  (Rewrites  adds Skype executive comments  analyst comment),normal
AAPL,Apple Inc,20110706,UPDATE 1-Samsung estimates Q2 profit down 26 pct , * Sees Q2 op profit at 3.7 trln won vs 3.9 trln won consensus,topStory
AAPL,Apple Inc,20110706,Samsung estimates Q2 profit down 26 pct , SEOUL  July 7 Samsung Electronics   the world's top maker of memory chips and televisions  estimated its April-June operating profit would fall 26 percent year on year  as its LCD display business is widely expected to report another loss.,normal
AAPL,Apple Inc,20110706,Hackers expose flaw in Apple iPad  iPhone software ,BOSTON Hackers have disclosed a bug in software from Apple Inc that security experts said could be exploited by criminals looking to gain remote control over iPhones  iPads and iPod Touch devices.,normal
AAPL,Apple Inc,20110706,Hackers expose flaw in Apple iPad  iPhone software , * They could develop malware that lets them control devices,normal
MSFT,Microsoft Corporation,20110706,Facebook launches video chat with Skype ,PALO ALTO  California Facebook will add Skype video chat to its pages  aiming to spice up the appeal of the world's No. 1 Internet social networking service while fending off increased competition from Google. | Video ,topStory
MSFT,Microsoft Corporation,20110706,UPDATE 5-Facebook launches video chat with Skype , * Microsoft  Google shares rise  (Rewrites  adds Skype executive comments  analyst comment),normal
NWSA,News Corporation,20110706,Murdoch defends papers as Cameron pledges hacking probe ,LONDON Rupert Murdoch promised full cooperation on Wednesday to resolve a scandal shaking his media empire after British Prime Minister David Cameron promised an inquiry into what he called "disgusting" phone hacking by a newspaper.,topStory
NWSA,News Corporation,20110706,UPDATE 8-Murdoch defends papers as Cameron pledges hacking probe , * Cameron  friend of former editor  says there should be phone-hacking inquiry,normal
YRCW,YRC Worldwide Inc,20110706,UPDATE 1-YRC shares skid  ABF jumps on appeals court ruling , NEW YORK  July 6 A federal appeals court has given new life to a rival's lawsuit against top U.S. trucker YRC Worldwide Inc   jeopardizing the company's restructuring efforts and sending its shares plummeting more than 8 percent.,topStory
AIG,American International Group Inc,20110706,Citi hit Moody's hurdle in OneMain sale -source ,   * OneMain prelim rating lower than Citi expected-source,topStory
BUD,Anheuser-Busch Inbev SA,20110706,AB InBev to invest $703 million in Argentina 2011-2015 ,BUENOS AIRES Quilmes beer and malt company  part of the world's largest brewer Anheuser-Busch InBev   will invest 3 billion pesos ($703 million) in Argentina between 2011 and 2015  the government said on Wednesday.,topStory
BUD,Anheuser-Busch Inbev SA,20110706,AB InBev to invest $703 mln in Argentina 2011-2015 , BUENOS AIRES  July 6 Quilmes beer and malt company  part of the world's largest brewer Anheuser-Busch InBev   will invest 3 billion pesos ($703 million) in Argentina between 2011 and 2015  the government said on Wednesday.,normal
BAC,Bank of America Corporation,20110706,BofA loses bid to end nationwide mortgage lawsuit ,NEW YORK Bank of America Corp lost its bid to dismiss a nationwide lawsuit accusing it of reneging on promises to help borrowers modify their mortgage loans under a much-criticized federal program.,topStory
BAC,Bank of America Corporation,20110706,BofA loses bid to end nationwide mortgage lawsuit , NEW YORK  July 6 Bank of America Corp  lost its bid to dismiss a nationwide lawsuit accusing it of reneging on promises to help borrowers modify their mortgage loans under a much-criticized federal program.,normal
BP,BP plc,20110706,Transocean evacuates Ghana rig as water on board ,SAN FRANCISCO/NEW YORK Transocean Ltd evacuated 108 nonessential personnel from a deepwater rig working off Ghana for Eni SpA after it took on water on Wednesday.,topStory
BP,BP plc,20110706,UPDATE 4-Transocean evacuates Ghana rig as water on board , * Rig working 46 miles off Ghana for Eni for $450 000/day,normal
CVE,Cenovus Energy Inc,20110706,Worker falls  dies at Conoco Wood River refinery ,HOUSTON A contract worker died after falling from the top of an asphalt storage tank on Tuesday at the ConocoPhillips refinery in Wood River  Illinois  the company said on Wednesday.,topStory
CVE,Cenovus Energy Inc,20110706,UPDATE 1-Worker falls  dies at Conoco Wood River refinery , HOUSTON  July 6 A contract worker died after falling from the top of an asphalt storage tank on Tuesday at the ConocoPhillips  refinery in Wood River  Illinois  the company said on Wednesday.,normal
C,Citigroup Inc,20110706,Citi hit Moody's hurdle in OneMain sale -source ,   * OneMain prelim rating lower than Citi expected-source,topStory
COP,ConocoPhillips,20110706,Worker falls  dies at Conoco Wood River refinery ,HOUSTON A contract worker died after falling from the top of an asphalt storage tank on Tuesday at the ConocoPhillips refinery in Wood River  Illinois  the company said on Wednesday.,topStory
COP,ConocoPhillips,20110706,UPDATE 1-Worker falls  dies at Conoco Wood River refinery , HOUSTON  July 6 A contract worker died after falling from the top of an asphalt storage tank on Tuesday at the ConocoPhillips  refinery in Wood River  Illinois  the company said on Wednesday.,normal
DO,Diamond Offshore Drilling Inc,20110706,Transocean evacuates Ghana rig as water on board ,SAN FRANCISCO/NEW YORK Transocean Ltd evacuated 108 nonessential personnel from a deepwater rig working off Ghana for Eni SpA after it took on water on Wednesday.,topStory
DO,Diamond Offshore Drilling Inc,20110706,UPDATE 4-Transocean evacuates Ghana rig as water on board , * Rig working 46 miles off Ghana for Eni for $450 000/day,normal
ECA,Encana Corporation,20110706,Worker falls  dies at Conoco Wood River refinery ,HOUSTON A contract worker died after falling from the top of an asphalt storage tank on Tuesday at the ConocoPhillips refinery in Wood River  Illinois  the company said on Wednesday.,topStory
ECA,Encana Corporation,20110706,UPDATE 1-Worker falls  dies at Conoco Wood River refinery , HOUSTON  July 6 A contract worker died after falling from the top of an asphalt storage tank on Tuesday at the ConocoPhillips  refinery in Wood River  Illinois  the company said on Wednesday.,normal
E,ENI SpA,20110706,Transocean evacuates Ghana rig as water on board ,SAN FRANCISCO/NEW YORK Transocean Ltd evacuated 108 nonessential personnel from a deepwater rig working off Ghana for Eni SpA after it took on water on Wednesday.,topStory
E,ENI SpA,20110706,UPDATE 4-Transocean evacuates Ghana rig as water on board , * Rig working 46 miles off Ghana for Eni for $450 000/day,normal
XOM,Exxon Mobil Corporation,20110706,Exxon says Montana pipeline repairs to take weeks , HOUSTON  July 6 Exxon Mobil Corp  is working on a plan to repair and restart a ruptured Montana pipeline that spilled up to 1 000 barrels of crude into the Yellowstone River last weekend  but restoration is not expected for at least two weeks  an executive said on Wednesday.,topStory
JPM,J P Morgan Chase & Co,20110706,BofA loses bid to end nationwide mortgage lawsuit ,NEW YORK Bank of America Corp lost its bid to dismiss a nationwide lawsuit accusing it of reneging on promises to help borrowers modify their mortgage loans under a much-criticized federal program.,topStory
JPM,J P Morgan Chase & Co,20110706,BofA loses bid to end nationwide mortgage lawsuit , NEW YORK  July 6 Bank of America Corp  lost its bid to dismiss a nationwide lawsuit accusing it of reneging on promises to help borrowers modify their mortgage loans under a much-criticized federal program.,normal
LPL,LG Display Co Ltd,20110706,UPDATE 1-Samsung estimates Q2 profit down 26 pct , * Sees Q2 op profit at 3.7 trln won vs 3.9 trln won consensus,topStory
