AMZN,Amazoncom Inc,20111103,Amazon.com launches digital book library service ,Online retailer Amazon.com said Kindle owners with an Amazon Prime membership will now get access to the company's new digital book library service.,topStory
AMZN,Amazoncom Inc,20111103,UPDATE 1-Amazon.com launches digital book library service ,Nov 3 U.S. online retailer Amazon.com  said Kindle owners with an Amazon Prime membership will now get access to the company's new digital book library service.,normal
AMED,Amedisys Inc,20111103,UPDATE 3-Gentiva braces for Medicare cuts  to close care centres ,* Cuts FY adj EPS to $1.50-$1.70 vs prior view of $2.00-$2.20,topStory
AAPL,Apple Inc,20111103,Apple to issue software fix for iPhone battery ,SAN FRANCISCO Apple Inc on Wednesday said it will release a software update to its iOS 5 operating system  acknowledging some customer complaints on the performance of the new iPhone 4S battery.,topStory
AAPL,Apple Inc,20111103,Apple to issue software fix for iPhone battery ,SAN FRANCISCO  Nov 2 Apple Inc on Wednesday said it will release a software update to its iOS 5 operating system  acknowledging some customer complaints on the performance of the new iPhone 4S battery.,normal
ATAI,ATA Inc,20111103,Full Thanksgiving flights seen despite traveler decline ,WASHINGTON U.S. air travelers can expect full flights over the Thanksgiving holiday even as the weak economy cuts the number of passengers about 2 percent from 2010  the Air Transport Association (ATA) said on Thursday.,topStory
AAWW,Atlas Air Worldwide Holdings,20111103,UPDATE 2-Atlas Air posts lower profit  cuts year view ,Nov 3 Cargo carrier Atlas Air Worldwide Holdings Inc said on Thursday quarterly profit fell as demand in Asia softened and fuel expenses rose  and the company cut its full-year forecast  sending its shares down more than 6 percent.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111103,New Issue-France Telecom adds 250 mln stg to 2050 bond ,Notes                   Launched under issuer's EMTN programme,topStory
DLBL,Barclays PLC,20111103,New Issue-France Telecom adds 250 mln stg to 2050 bond ,Notes                   Launched under issuer's EMTN programme,topStory
DTYL,Barclays PLC,20111103,New Issue-France Telecom adds 250 mln stg to 2050 bond ,Notes                   Launched under issuer's EMTN programme,topStory
CAMT,Camtek Ltd,20111103,RPT-UPDATE 2-Camtek sees further sales improvement in 2012 ,JERUSALEM  Nov 3 - Camtek Ltd   a maker of automated optical inspection systems  reported higher third-quarter profit on Thursday  boosted by an expansion of its product line  and projected another year of solid sales growth in 2012.,topStory
CBOE,CBOE Holdings Inc,20111103,CORRECTED - UPDATE 2-CBOE Holdings profit up as trading surges ,Nov 3 CBOE Holdings Inc on Thursday reported a better-than-expected quarterly profit because of a surge in volume as investors used its contracts to protect against market swings spurred by European debt woes and a shaky U.S. recovery.,topStory
CME,CME Group Inc,20111103,MF Global may have moved funds in final days ,By Sarah N. Lynch  Christopher Doering and Jonathan Spicer,topStory
CMCSA,Comcast Corporation,20111103,Losing in fall ratings  NBC says the race is long ,The network is down 11 percent in the ratings  while its rival networks gain or hold steady. It is the only network already to have canceled two shows this season. And according to Comcast earnings released Wednesday  its third-quarter ad revenue was flat.,topStory
CMCSA,Comcast Corporation,20111103,Cable TV ups profits at big media companies ,Comcast Corp  News Corp and Time Warner Inc reported stronger quarterly results on Wednesday  confirming it pays to have a solid lineup of cable networks -- at least while advertisers keep spending.,normal
CMCSA,Comcast Corporation,20111103,WRAPUP 3-Cable TV ups profits at big media companies ,Nov 2 Comcast Corp   News Corp and Time Warner Inc reported stronger quarterly results on Wednesday  confirming it pays to have a solid lineup of cable networks -- at least while advertisers keep spending.,normal
COST,Costco Wholesale Corporation,20111103,CORRECTED - WRAPUP 1-U.S. chain store sales rise in October ,* Index of 23 chains seen up 4.5 pct-Thomson Reuters data,topStory
COST,Costco Wholesale Corporation,20111103,UPDATE 1- Gasoline prices boost Costco Oct sales ,Nov 3 U.S. warehouse club operator Costco Wholesale Corp's October same-store sales rose 9 percent  helped by high gasoline prices but marginally below market expectations.,normal
ERIC,Ericsson,20111103,TEXT-S&P:Ericsson ratings unaffected by Sony Ericsson sale ,(The following statement was released by the rating agency),topStory
