ACRX,AcelRx Pharmaceuticals Inc,20180524,BRIEF-AcelRx Announces FDA Acceptance Of NDA For Dsuvia ,* ACELRX PHARMACEUTICALS INC - DSUVIA PDUFA DATE SET FOR NOVEMBER 3  2018,topStory,Strong Buy
DB,Deutsche Bank AG,20180524,UPDATE 1-Deutsche Bank says revenue environment in Q2 remains challenging ,* Equities trims so far not hurting revenue (Updates with quotes and details from speech at AGM),normal,Unknown
DB,Deutsche Bank AG,20180524,Deutsche Bank says revenue environment in Q2 remains challenging ,FRANKFURT  May 24 Deutsche Bank's new chief executive  Christian Sewing  said generating revenue continues to be a challenge in the current quarter.,normal,Unknown
DB,Deutsche Bank AG,20180524,RPT-Deutsche Bank's chairman defends abrupt change in CEO ,FRANKFURT  May 24 Deutsche Bank chairman Paul Achleitner on Thursday defended his decision to abruptly change top management last month.,normal,Unknown
DB,Deutsche Bank AG,20180524,Deutsche Bank's chairman defends abrupt change in CEO ,FRANKFURT  May 24 Deutsche Bank chairman Paul Achleitner on Thursday defended his decision to abruptly change top management last month.,normal,Unknown
SSP,EW Scripps Company (The),20180524,BRIEF-Scripps Says Has Renewed Affiliation Agreements For ABC  CBS Stations In Several Markets ,* SCRIPPS HAS RENEWED AFFILIATION AGREEMENTS FOR ABC  CBS STATIONS IN SEVERAL MARKETS,topStory,Unknown
EXC,Exelon Corporation,20180524,Exelon says 3 U.S. nuclear plants did not clear PJM capacity auction ,May 24 U.S. power company Exelon Corp said Thursday that three of its nuclear plants did not clear in the annual capacity auction used by the PJM power grid operator to ensure enough energy resources are available to meet demand in its U.S. Mid Atlantic and Midwest region.,topStory,Unknown
XOM,Exxon Mobil Corporation,20180524,Algeria's Sonatrach hopes for Exxon Mobil deal on shale gas ,IN SALAH  Algeria Algerian state energy firm Sonatrach is seeking cooperation with Exxon Mobil Corp on shale gas "and more"  Sonatrach's chief executive said on Thursday.,topStory,Strong Buy
XOM,Exxon Mobil Corporation,20180524,UPDATE 1-Algeria's Sonatrach hopes for Exxon Mobil deal on shale gas ,IN SALAH  Algeria  May 24 Algerian state energy firm Sonatrach is seeking cooperation with Exxon Mobil Corp on shale gas "and more"  Sonatrach's chief executive said on Thursday.,normal,Strong Buy
XOM,Exxon Mobil Corporation,20180524,Algeria's Sonatrach hopes for Exxon Mobil deal on shale gas ,IN SALAH  Algeria  May 24 Algerian state energy firm Sonatrach is seeking cooperation with Exxon Mobil Corp on shale gas "and more"  Sonatrach's CEO said on Thursday.,normal,Strong Buy
FDC,First Data Corporation,20180524,Italy's SIA buys First Data's cards processing businesses in southeastern Europe ,MILAN  May 24 U.S. electronic payment services group First Data has agreed to sell its card processing businesses in parts of  central and southeastern Europe to Italian rival SIA for 375 million euros ($440 million).,topStory,Unknown
FDC,First Data Corporation,20180524,BRIEF-SIA Buys First Data's Card Processing Businesses In Central  Southeastern Europe ,* SIA ACQUIRES CARD PROCESSING BUSINESSES IN CENTRAL AND SOUTHEASTERN EUROPE FROM FIRST DATA,normal,Unknown
F,Ford Motor Company,20180524,Car imports probe gives GM  Ford shares tiny lift ,Shares of General Motors  and Ford  inched only marginally higher before the bell on Thursday after the Trump administration launched a national security probe into car imports which could lead to new tariffs on foreign competitors while also stirring trade tensions. | Video ,topStory,Unknown
F,Ford Motor Company,20180524,Car imports probe gives GM  Ford shares tiny lift ,May 24 Shares of General Motors and Ford inched only marginally higher before the bell on Thursday after the Trump administration launched a national security probe into car imports which could lead to new tariffs on foreign competitors while also stirring trade tensions.,normal,Unknown
F,Ford Motor Company,20180524,Breakingviews - U.S. threatens autos with scorched-earth gambit ,NEW YORK (Reuters Breakingviews) - The White House is threatening the automotive industry with a scorched-earth gambit. President Donald Trump on Wednesday asked Commerce Secretary Wilbur Ross to consider a so-called Section 232 investigation on all imports of vehicles and parts. That may well just be his fuel-injected bargaining chip for negotiations with partners in NAFTA  the North American trade pact. If the levies actually happen  though  it would leave domestic and foreign automakers reeli,normal,Unknown
GPS,Gap Inc (The),20180524,Gap stumbles as namesake brand's struggles continue ,Apparel retailer Gap Inc  reported quarterly same-store sales on Thursday that missed analysts' estimates as its namesake brand struggled to clear excess inventory in a quarter marred by an unusually long winter.,topStory,Strong Buy
GPS,Gap Inc (The),20180524,UPDATE 2-Gap stumbles as namesake brand's struggles continue ,May 24 Apparel retailer Gap Inc reported quarterly same-store sales on Thursday that missed analysts' estimates as its namesake brand struggled to clear excess inventory in a quarter marred by an unusually long winter.,normal,Strong Buy
GPS,Gap Inc (The),20180524,Gap misses first-quarter same-store sales estimates ,May 24Apparel retailer Gap Inc on Thursday reported first-quarter comparable store sales that missed estimates  hurt by a slump in demand for its namesake brand.,normal,Unknown
GEK,General Electric Capital Corporation,20180524,General Electric's power unit fights for growth as wind  solar gain ,NEW YORK Vistra Energy Corp  and Dominion Energy Inc  – which serve about 5.5 million electricity customers in more than a dozen U.S. states – both say they are done building combined-cycle natural gas-fired power plants. | Video ,topStory,Unknown
GEK,General Electric Capital Corporation,20180524,RPT-General Electric's power unit fights for growth as wind  solar gain ,NEW YORK  May 24 Vistra Energy Corp and Dominion Energy Inc – which serve about 5.5 million electricity customers in more than a dozen U.S. states – both say they are done building combined-cycle natural gas-fired power plants.,normal,Unknown
GEK,General Electric Capital Corporation,20180524,General Electric's power unit fights for growth as wind  solar gain ,NEW YORK Vistra Energy Corp and Dominion Energy Inc – which serve about 5.5 million electricity customers in more than a dozen U.S. states – both say they are done building combined-cycle natural gas-fired power plants.,normal,Unknown
GEK,General Electric Capital Corporation,20180524,PRESS DIGEST -Wall Street Journal - May 24 ,May 24 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal,Unknown
GEK,General Electric Capital Corporation,20180524,General Electric's power unit fights for growth as wind  solar gain ,NEW YORK  May 24 Vistra Energy Corp and Dominion Energy Inc – which serve about 5.5 million electricity customers in more than a dozen U.S. states – both say they are done building combined-cycle natural gas-fired power plants.,normal,Unknown
GE,General Electric Company,20180524,General Electric's power unit fights for growth as wind  solar gain ,NEW YORK Vistra Energy Corp  and Dominion Energy Inc  – which serve about 5.5 million electricity customers in more than a dozen U.S. states – both say they are done building combined-cycle natural gas-fired power plants. | Video ,topStory,Unknown
GE,General Electric Company,20180524,RPT-General Electric's power unit fights for growth as wind  solar gain ,NEW YORK  May 24 Vistra Energy Corp and Dominion Energy Inc – which serve about 5.5 million electricity customers in more than a dozen U.S. states – both say they are done building combined-cycle natural gas-fired power plants.,normal,Unknown
GE,General Electric Company,20180524,General Electric's power unit fights for growth as wind  solar gain ,NEW YORK Vistra Energy Corp and Dominion Energy Inc – which serve about 5.5 million electricity customers in more than a dozen U.S. states – both say they are done building combined-cycle natural gas-fired power plants.,normal,Unknown
GE,General Electric Company,20180524,PRESS DIGEST -Wall Street Journal - May 24 ,May 24 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal,Unknown
GE,General Electric Company,20180524,General Electric's power unit fights for growth as wind  solar gain ,NEW YORK  May 24 Vistra Energy Corp and Dominion Energy Inc – which serve about 5.5 million electricity customers in more than a dozen U.S. states – both say they are done building combined-cycle natural gas-fired power plants.,normal,Unknown
HLI,Houlihan Lokey Inc,20180524,FOCUS-Nestle streamlines R&D to speed up product innovation ,LONDON  May 24 Food giant Nestle plans to combine its scientific research operations into a single unit in an attempt to speed up development of new products at a time when competition from smaller rivals is intensifying.,normal,Unknown
INFY,Infosys Limited,20180524,Indian shares end higher; IT stocks lead ,May 24 Indian shares ended higher on Thursday as IT stocks such as Infosys Ltd and Tata Consultancy Services Ltd (TCS) gained on the back of a weaker rupee.,topStory,Unknown
IP,International Paper Company,20180524,Ireland's Smurfit aims to see off takeover with Dutch acquisition ,DUBLIN Smurfit Kappa  has agreed to buy Dutch paper and recycling firm Reparenco for about 460 million euros ($539 million)  the Irish packaging group said on Thursday  in its effort to see off a takeover bid from U.S. rival International Paper (IP) .,topStory,Strong Buy
IP,International Paper Company,20180524,Ireland's Smurfit aims to see off takeover with Dutch acquisition ,DUBLIN  May 24 Smurfit Kappa has agreed to buy Dutch paper and recycling firm Reparenco for about 460 million euros ($539 million)  the Irish packaging group said on Thursday  in its effort to see off a takeover bid from U.S. rival International Paper (IP).,normal,Strong Buy
IP,International Paper Company,20180524,BRIEF-Smurfit Kappa CEO says board's unanimous position on IP bid clearly outlined ,* SMURFIT KAPPA CEO SAYS UNANIMOUS POSITION OF BOARD ON UNSOLICITED INTERNATIONAL PAPER APPROACH HAS BEEN CLEARLY OUTLINED Further company coverage: (Reporting By Padraic Halpin),normal,Sell
STAR          ,iStar Financial Inc,20180524,Austrian property group CA Immo will not offer shares to Starwood ,May 24 Austrian property group CA Immo has decided not to take up a partial offer from the U.S. property investment firm Starwood Capital Group  the company said on Thursday.,topStory,Sell
ITUB,Itau Unibanco Banco Holding SA,20180524,Brazilian electronics company Multilaser files for IPO ,SAO PAULO  May 24 Brazilian electronics company Multilaser Industrial SA on Thursday filed for regulatory clearance to launch an initial public offering  according to a securities filing.,normal,Unknown
JHG,Janus Henderson Group plc,20180524,Ireland's Smurfit aims to see off takeover with Dutch acquisition ,DUBLIN  May 24 Smurfit Kappa has agreed to buy Dutch paper and recycling firm Reparenco for about 460 million euros ($539 million)  the Irish packaging group said on Thursday  in its effort to see off a takeover bid from U.S. rival International Paper (IP).,normal,Strong Buy
JNJ,Johnson & Johnson,20180524,J&J must pay $4 million in punitive damages in latest asbestos cancer trial ,A California jury on Thursday ordered Johnson & Johnson to pay $4 million in punitive damages to a woman who said she developed cancer after being exposed to asbestos in the company's baby powder  pushing the total damages award in the case to $25.7 million.,topStory,Strong Buy
JNJ,Johnson & Johnson,20180524,UPDATE 1-J&J must pay $4 mln in punitive damages in latest asbestos cancer trial ,May 24 A California jury on Thursday ordered Johnson & Johnson to pay $4 million in punitive damages to a woman who said she developed cancer after being exposed to asbestos in the company's baby powder  pushing the total damages award in the case to $25.7 million.,normal,Unknown
JNJ,Johnson & Johnson,20180524,J&J must pay $4 million in punitive damages in latest asbestos cancer trial ,A California jury on Thursday ordered Johnson & Johnson to pay $4 million in punitive damages to a woman who said she developed cancer after being exposed to asbestos in the company's baby powder  pushing the total damages award in the case to $25.7 million.,normal,Strong Buy
JNJ,Johnson & Johnson,20180524,J&J must pay $4 mln in punitive damages in latest asbestos cancer trial ,May 24 A California jury on Thursday ordered Johnson & Johnson to pay $4 million in punitive damages to a woman who said she developed cancer after being exposed to asbestos in the company's baby powder  pushing the total damages award in the case to $25.7 million.,normal,Strong Buy
JNJ,Johnson & Johnson,20180524,EU mergers and takeovers (May 24) ,BRUSSELS  May 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal,Unknown
KR,Kroger Company (The),20180524,Kroger's meal kit deal reheats Blue Apron shares ,SAN FRANCISCO Shares of Blue Apron  climbed on Thursday after Kroger said it was buying Home Chef to broaden its menu in the home meal kit market while stock of Calavo Growers  whose unit partnered with Kroger on another meal kit service  slumped.,topStory,Strong Buy
LB,L Brands Inc,20180524,US STOCKS-Wall St set to open lower as auto tariff threat weighs ,* Futures dip: Dow 0.23 pct  S&P 0.16 pct  Nasdaq 0.17 pct (Adds comment  adds details  updates prices),normal,Unknown
LB,L Brands Inc,20180524,US STOCKS-Futures flat as auto tariff threat dulls Fed optimism ,May 24 Worries over U.S. trade protectionism  this time around car imports  weighed on Wall Street's main indexes on Thursday  overshadowing optimism that the Federal Reserve may be more tolerant of rising inflation than previously expected.,normal,Unknown
LYG,Lloyds Banking Group Plc,20180524,Investors attack Britain's Lloyds Bank over mistreatment of customers ,LONDON Britain's Lloyds Banking Group  faced a barrage of allegations of poor customer service and withholding misconduct compensation on Thursday  laying bare the task of rebuilding customer trust after years of reputational damage.,topStory,Unknown
LYG,Lloyds Banking Group Plc,20180524,Investors attack Britain's Lloyds Bank over mistreatment of customers ,LONDON  May 24 Britain's Lloyds Banking Group faced a barrage of allegations of poor customer service and withholding misconduct compensation on Thursday  laying bare the task of rebuilding customer trust after years of reputational damage.,normal,Unknown
LMT,Lockheed Martin Corporation,20180524,U.S. Senate defense bill would bar Turkey from buying F-35 jets ,WASHINGTON A U.S. Senate committee passed its version of a $716 billion defense policy bill on Thursday  including a measure to prevent Turkey from purchasing Lockheed Martin F-35 Joint Strike Fighter jets.,topStory,Sell
LMT,Lockheed Martin Corporation,20180524,U.S. Senate defense bill would bar Turkey from buying F-35 jets ,WASHINGTON  May 24 A U.S. Senate committee passed its version of a $716 billion defense policy bill on Thursday  including a measure to prevent Turkey from purchasing Lockheed Martin F-35 Joint Strike Fighter jets.,normal,Sell
LMT,Lockheed Martin Corporation,20180524,Lockheed wins $558 mln U.S. defense contract -Pentagon ,WASHINGTON  May 24 Lockheed Martin Corp's Lockheed Martin Aeronautics Co subsidiary is being awarded a $558 million contract for   support for low-rate initial production of Lot 11 F-35 Lightning II aircraft  the Pentagon said on Thursday.,normal,Unknown
LYB,LyondellBasell Industries NV,20180524,Brazil's Braskem says Odebrecht denies acquisition proposal from LyondellBasell ,SAO PAULO  May 24 Brazilian construction firm Odebrecht SA on Thursday denied receiving a proposal from LyondellBaseel Industries NV to buy its controlling stake in Brazilian petrochemical company Braskem SA  Braskem said in a securities filing on Thursday.,topStory,Unknown
MTL,Mechel PAO,20180524,Russia's Mechel says its Q1 net profit down 76 pct y/y ,MOSCOW  May 24 Russian metals and mining group Mechel said on Thursday its net profit was 76 percent down in the first guarter of 2018  compared to the same period of last year  and totalled 3.3 billion roubles ($53.71 million).,topStory,Unknown
MTL,Mechel PAO,20180524,Russia's Mechel says coking coal concentrate sales down 19 percent year-on-year in the first quarter ,MOSCOW Russian metals and mining group Mechel said on Thursday its first-quarter coking coal concentrate sales declined by 19 percent year-on-year to 1.61 million tonnes.,normal,Sell
MTL,Mechel PAO,20180524,Russia's Mechel says coking coal concentrate sales down 19 pct yr/yr in Q1 ,MOSCOW  May 24 Russian metals and mining group Mechel said on Thursday its first-quarter coking coal concentrate sales declined by 19 percent year-on-year to 1.61 million tonnes.,normal,Sell
MDT,Medtronic plc,20180524,Medtronic beats estimates on cardio  diabetes gains ,Medtronic Plc  topped analysts' estimates for profit in the fourth quarter as it kept a tight lid on costs and upped sales of its heart valves and insulin pumps  offsetting the impact of hurricane damage to production in Puerto Rico.,topStory,Strong Buy
MDT,Medtronic plc,20180524,UPDATE 3-Medtronic beats estimates on cardio  diabetes gains ,* Shares up 3 percent (Adds details  analysts' comments  updates share price),normal,Unknown
MDT,Medtronic plc,20180524,RPT-Medical device maker Medtronic reports 25.5 pct rise in profit ,May 24 Medtronic Plc reported a 25.5 percent rise in quarterly profit on Thursday on higher demand for its heart devices.,normal,Unknown
MDT,Medtronic plc,20180524,Medical device maker Medtronic reports 25.5 pct rise in profit ,May 24 Medtronic Plc reported a 25.5 percent rise in quarterly profit on Thursday on higher demand for its heart devices.,normal,Unknown
MS,Morgan Stanley,20180524,Morgan Stanley shareholders side with board at annual meeting ,PURCHASE  N.Y. Morgan Stanley  shareholders sided with the company's board on all votes taken at their annual meeting on Thursday  electing the slate of directors and endorsing the company's compensation of top executives.,topStory,Strong Buy
MS,Morgan Stanley,20180524,UPDATE 1-Morgan Stanley shareholders side with board at annual meeting ,PURCHASE  N.Y.  May 24 Morgan Stanley shareholders sided with the company's board on all votes taken at their annual meeting on Thursday  electing the slate of directors and endorsing the company's compensation of top executives.,normal,Strong Buy
MS,Morgan Stanley,20180524,Morgan Stanley shareholders side with board at annual meeting ,PURCHASE  N.Y.  May 24 Morgan Stanley shareholders sided with the company's board on all votes taken at their annual meeting on Thursday  electing the slate of directors and endorsing the company's compensation of top executives.,normal,Strong Buy
NVS,Novartis AG,20180524,Novartis receives EU approval for biosimilar Zessly ,ZURICH Novartis said its Sandoz division received approval from the European Commission for its biosimilar Zessly (infliximab) in gastroenterological  rheumatological and dermatological diseases.,topStory,Strong Buy
NVS,Novartis AG,20180524,Novartis receives EU approval for biosimilar Zessly ,ZURICH  May 24 Novartis said its Sandoz division received approval from the European Commission for its biosimilar Zessly (infliximab) in gastroenterological  rheumatological and dermatological diseases.,normal,Strong Buy
PBR,Petroleo Brasileiro SA- Petrobras,20180524,EMERGING MARKETS-Latam markets sink on global uncertainty  Petrobras shares slide , (Updates prices  adds details on Mexico stocks and peso)     By Bruno Federowski     BRASILIA  May 24 Brazilian stocks fell for a second day on Thursday  pressured by national oil company Petrobras  while other Latin American markets were also down after the United States canceled a North Korea summit and proposed exploring auto tariffs.     Brazil's Petroleo Brasileiro SA  better known as Petrobras  saw shares plummet more than 13 percent after announcing a temporary diesel price c,topStory,Strong Buy
PBR,Petroleo Brasileiro SA- Petrobras,20180524,Petrobras pricing pressure spooks potential refinery buyers- sources ,SAO PAULO A surprise decision by Brazil's state-controlled oil company Petroleo Brasileiro SA to cut diesel prices in response to truckers' protests is worrying some potential buyers of Petrobras' refineries  three people with knowledge of the matter said on Thursday.,normal,Sell
PBR,Petroleo Brasileiro SA- Petrobras,20180524,Petrobras pricing pressure spooks potential refinery buyers- sources ,SAO PAULO  May 24 A surprise decision by Brazil's state-controlled oil company Petroleo Brasileiro SA to cut diesel prices in response to truckers' protests is worrying some potential buyers of Petrobras' refineries  three people with knowledge of the matter said on Thursday.,normal,Sell
PBR,Petroleo Brasileiro SA- Petrobras,20180524,Petrobras CEO says he will not leave his post amid crisis ,RIO DE JANEIRO The chief executive officer of Brazilian state-controlled oil company Petroleo Brasileiro said on Thursday he would not leave his post amid a trucker strike over diesel prices  which has paralyzed transportation throughout the country.,normal,Strong Buy
PBR,Petroleo Brasileiro SA- Petrobras,20180524,EMERGING MARKETS-Brazil stocks down for a 2nd day as Petrobras plummets ,    By Bruno Federowski     BRASILIA  May 24 Brazilian stocks dropped for a second day on Thursday  as shares of Petróleo Brasileiro SA  plummeted after the state-controlled oil company announced a temporary diesel price cut.     Brazilian truckers kept protesting high diesel prices for a fourth day on Thursday  crippling highways nationwide even after the company acted.     Brazil's lower house of Congress voted on Wednesday to eliminate certain taxes on diesel. The Senate has yet t,normal,Unknown
PBR,Petroleo Brasileiro SA- Petrobras,20180524,UPDATE 1-Petrobras shares plunge as diesel price cut fans meddling fears ,* CEO denies interference  ex-board member sees 'disaster' (Adds quote  details of pricing policy),normal,Sell
PBR,Petroleo Brasileiro SA- Petrobras,20180524,Emerging market CDS trading value jumps in Q1 -EMTA ,NEW YORK  May 24 Trading in emerging market credit default swaps jumped 21.1 percent to $488 billion in the first quarter of 2018 from $403 billion in the same quarter a year earlier  a survey released on Thursday showed.,normal,Unknown
PFE,Pfizer Inc,20180524,Pfizer to pay $23.85 million to settle U.S. co-payment kickback probe ,Pfizer Inc  agreed to pay $23.85 million to resolve U.S. charges that it used a purportedly independent charity to pay illegal kickbacks to Medicare patients  covering their out-of-pocket costs for its prescription drugs.,topStory,Unknown
PFE,Pfizer Inc,20180524,UPDATE 3-Pfizer to pay $23.85 mln to settle U.S. co-payment kickback probe ,May 24 Pfizer Inc agreed to pay $23.85 million to resolve U.S. charges that it used a purportedly independent charity to pay illegal kickbacks to Medicare patients  covering their out-of-pocket costs for its prescription drugs.,normal,Unknown
PFE,Pfizer Inc,20180524,Drug maker Pfizer to pay $23.85 mln to settle claims it paid kickbacks ,WASHINGTON  May 24 Drug maker Pfizer will pay $23.85 million to settle civil charges that it illegally paid kickbacks by using a foundation as a "conduit" to cover co-pay costs for Medicare patients taking three of the company's drugs  the U.S. Justice Department said Thursday.,normal,Unknown
PFE,Pfizer Inc,20180524,Pfizer to pay $23.85 mln to resolve U.S. kickbacks case ,May 24 Pfizer Inc has agreed to pay $23.85 million to resolve allegations it illegally paid kickbacks to Medicare patients through a purportedly independent charitable foundation  the U.S. Department of Justice said on Thursday.,normal,Unknown
PG,Procter & Gamble Company (The),20180524,Procter & Gamble commits to Russia despite rising risks ,MOSCOW U.S. consumer goods group Procter & Gamble (P&G)  will keep investing in Russian plants in 2018 and beyond  reaffirming its commitment to the market despite political risks.,topStory,Unknown
REXR,Rexford Industrial Realty Inc,20180524,BRIEF-Rexford Industrial Acquires Two Industrial Properties For $18.3 Mln ,* REXFORD INDUSTRIAL ACQUIRES TWO INDUSTRIAL PROPERTIES FOR $18.3 MILLION,topStory,Unknown
RY,Royal Bank Of Canada,20180524,RBC posts 11 percent rise in second-quarter earnings ,TORONTO  May 24 Royal Bank of Canada  Canada's biggest lender by market value  on Thursday posted an 11 percent rise in second-quarter earnings  helped by strong growth at its wealth management and retail businesses.,topStory,Unknown
SQM,Sociedad Quimica y Minera SA,20180524,UPDATE 1-Chile's SQM says will boost lithium capacity by 2021 ,SANTIAGO  May 24 Chilean miner SQM said on Thursday that it would invest $525 million to boost its lithium production capacity in Chile through 2021 as demand for the key ingredient in electric vehicle batteries continues to surge.,topStory,Unknown
SQM,Sociedad Quimica y Minera SA,20180524,Chile's SQM says to triple production of lithium by 2021 ,SANTIAGO  May 24 Chilean miner SQM said on Thursday that it would invest $525 million to more than triple its lithium production capacity in Chile through 2021 as demand for the key ingredient in electric vehicle batteries continues to surge.,normal,Unknown
TDY,Teledyne Technologies Incorporated,20180524,BRIEF-Teledyne Awarded Second Phase Of EUR 42 Million Contract For ESA PLATO Mission ,* TELEDYNE E2V AWARDED SECOND PHASE OF EUR 42 MILLION CONTRACT TO PROVIDE CUSTOM IMAGE SENSORS FOR ESA PLATO MISSION Source text for Eikon: Further company coverage:,topStory,Strong Buy
TEF,Telefonica SA,20180524,BRIEF-Spain's Telefonica To Integrate Netflix Into Its TV And Video Platforms In Latin America ,* TO INTEGRATE NETFLIX INTO ITS TV AND VIDEO PLATFORMS IN LATIN AMERICA,topStory,Unknown
TMO,Thermo Fisher Scientific Inc,20180524,BRIEF-Thermo Fisher Scientific Sets Quarterly Cash Dividend Of $0.17 Per Share ,* SETS QUARTERLY CASH DIVIDEND OF $0.17PER SHARE Source text for Eikon: Further company coverage:,topStory,Strong Buy
TD,Toronto Dominion Bank (The),20180524,Canada's TD Bank second-quarter earnings beat expectations ,TORONTO Toronto-Dominion Bank   Canada's second-biggest lender by market value  on Thursday reported second-quarter earnings which were ahead of market expectations  benefiting from a strong performance at its domestic retail business.,topStory,Unknown
TD,Toronto Dominion Bank (The),20180524,Canada's TD Bank second-quarter earnings beat expectations ,TORONTO  May 24 Toronto-Dominion Bank  Canada's second-biggest lender by market value  on Thursday reported second-quarter earnings which were ahead of market expectations  benefiting from a strong performance at its domestic retail business.,normal,Unknown
TM,Toyota Motor Corp Ltd Ord,20180524,Tariffs on auto imports could hurt U.S. jobs  raise consumer costs: Toyota ,WASHINGTON Japanese automaker Toyota Motor Corp  said on Thursday that imposing tariffs on imported vehicles "could hurt American jobs" and boost consumer costs.,topStory,Strong Buy
TM,Toyota Motor Corp Ltd Ord,20180524,Republicans in U.S. Congress slam Trump probe of auto imports ,WASHINGTON  May 24 Some of President Donald Trump's fellow Republicans in the U.S. Congress said on Thursday that his administration's national security investigation of car and truck imports amid a trade spat with China is being pursued under false pretenses and could hurt U.S. consumers.,normal,Unknown
TM,Toyota Motor Corp Ltd Ord,20180524,Tariffs on auto imports could hurt U.S. jobs  raise consumer costs -Toyota ,WASHINGTON  May 24 Japanese automaker Toyota Motor Corp said on Thursday that imposing tariffs on imported vehicles "could hurt American jobs" and boost consumer costs.,normal,Strong Buy
TM,Toyota Motor Corp Ltd Ord,20180524,Toyota to ramp up hydrogen fuel cell vehicle sales around 2020 ,TOKYO Toyota Motor Corp  on Thursday said it plans to set up a  facility to mass manufacture hydrogen fuel cell stacks  a key component of fuel cell vehicles  as it seeks to ramp up production of hydrogen-powered cars and expand their usage as a zero-emission alternative to gasoline vehicles.,normal,Unknown
TM,Toyota Motor Corp Ltd Ord,20180524,UPDATE 1-Toyota to ramp up hydrogen fuel cell vehicle sales around 2020 ,TOKYO  May 24 Toyota Motor Corp on Thursday said it plans to set up a  facility to mass manufacture hydrogen fuel cell stacks  a key component of fuel cell vehicles  as it seeks to ramp up production of hydrogen-powered cars and expand their usage as a zero-emission alternative to gasoline vehicles.,normal,Unknown
TM,Toyota Motor Corp Ltd Ord,20180524,Toyota to build fuel cell stack plant  ramp up fuel cell vehicle sales from 2020 ,TOKYO  May 24 Toyota Motor Corp on Thursday said it plans to build a plant to manufacture hydrogen fuel cell stacks  a key component of fuel cell vehicles  as it seeks to mass manufacture hydrogen-powered cars to expand their usage as a zero emissions alternative to gasoline vehicles.,normal,Sell
UAL,United Continental Holdings Inc,20180524,United Continental names Jane Garvey as first woman board chair ,CHICAGO United Continental Holdings Inc has selected former Federal Aviation Administration chief Jane Garvey as board chair  making her the first woman to lead the company's directors  the carrier said on Thursday.,topStory,Unknown
UAL,United Continental Holdings Inc,20180524,UPDATE 2-United Continental names Jane Garvey as first woman board chair ,CHICAGO  May 24 United Continental Holdings Inc has selected former Federal Aviation Administration chief Jane Garvey as board chair  making her the first woman to lead the company's directors  the carrier said on Thursday.,normal,Unknown
UAL,United Continental Holdings Inc,20180524,United Continental names Jane Garvey as first woman board chair ,NEW YORK  May 24 United Continental Holdings Inc has selected former Federal Aviation Administration chief Jane Garvey as board chair  making her the first woman to lead the company's directors. (Reporting By Alana Wise; editing by Peter Henderson and Cynthia Osterman),normal,Unknown
DIS,Walt Disney Company (The),20180524,Stock market value of Netflix eclipses Disney for first time ,SAN FRANCISCO Netflix's  stock market value ballooned to a record $153 billion on Thursday and eclipsed Walt Disney Co  for the first time  making it the world's most valuable entertainment company  following a monumental shift by viewers away from cinemas and cable television. | Video ,topStory,Unknown
DIS,Walt Disney Company (The),20180524,Breakingviews - How Comcast can boost its chances of snaring Fox ,NEW YORK (Reuters Breakingviews) - Comcast can boost its chances of snaring Fox. The cable company is preparing to scuttle Walt Disney’s $52.4 billion bid for some of Rupert Murdoch’s media assets  and a major Fox shareholder is receptive to the idea. But Comcast Chief Executive Brian Roberts may want to offer more than just the best price to get a hearing.,normal,Unknown
DIS,Walt Disney Company (The),20180524,UPDATE 1-Stock market value of Netflix eclipses Disney for first time ,SAN FRANCISCO  May 24 Netflix's stock market value ballooned to a record $153 billion on Thursday and eclipsed Walt Disney Co for the first time  making it the world's most valuable entertainment company  following a monumental shift by viewers away from cinemas and cable television.,normal,Unknown
DIS,Walt Disney Company (The),20180524,Netflix's stock market value eclipses Disney's for first time ,SAN FRANCISCO  May 24 Netflix's stock market value ballooned to a record $153 billion on Thursday and eclipsed Walt Disney Co for the first time  making it the world's top entertainment company and underscoring a monumental shift by viewers away from cinemas and cable television.,normal,Unknown
DIS,Walt Disney Company (The),20180524,PRESS DIGEST -Wall Street Journal - May 24 ,May 24 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal,Unknown
DIS,Walt Disney Company (The),20180524,Comcast prepares to top Disney's $50 billion offer for Fox ,Comcast Corp  confirmed on Wednesday it was preparing a higher  all-cash offer for most of the media assets of Twenty-First Century Fox   setting up a bidding war with rival Walt Disney Co   which already has agreed to a $52-billion deal with Fox. | Video ,normal,Unknown
WBK,Westpac Banking Corporation,20180524,Australian court rejects regulator's rate-rigging case against Westpac ,May 24 Australia's Westpac Banking Corp did not manipulate a key exchange rate in order to increase profits  a court said on Thursday  rejecting charges levelled by regulator Australian Securities and Investments Commission (ASIC).,topStory,Unknown
WSM,Williams-Sonoma Inc,20180524,US STOCKS-Wall St set to open lower as auto tariff threat weighs ,* Futures dip: Dow 0.23 pct  S&P 0.16 pct  Nasdaq 0.17 pct (Adds comment  adds details  updates prices),normal,Unknown
