ACRX,AcelRx Pharmaceuticals Inc,20180524,BRIEF-AcelRx Announces FDA Acceptance Of NDA For Dsuvia ,* ACELRX PHARMACEUTICALS INC - DSUVIA PDUFA DATE SET FOR NOVEMBER 3  2018,topStory,Strong Buy
FB,Facebook Inc,20180524,Russia to carry out checks on Facebook  Whatsapp: TASS ,MOSCOW Russian state telecommunications watchdog Roskomnadzor will check by December whether Facebook and possibly Whatsapp are complying with Russian laws  TASS news agency reported on Thursday  citing the head of the watchdog.,normal,Unknown
GNBC,Green Bancorp Inc,20180524,BRIEF-Green Bancorp Announces Pricing Of Secondary Public Offering ,* GREEN BANCORP  INC. ANNOUNCES PRICING OF SECONDARY PUBLIC OFFERING OF COMMON STOCK,topStory,Unknown
INGN,Inogen Inc,20180524,Inogen's shares drop on short seller Citron's tweet ,Shares of Inogen Inc fell nearly 7 percent on Thursday after short seller Citron Research called the oxygen supply device maker the most expensive name in medical technology with no pipeline.,topStory,Strong Buy
INTL,INTL FCStone Inc,20180524,MOVES-INTL FCStone's Gwozdz latest metals trader to join ED&F ,BEIJING  May 24 INTL FCStone's head of sales for the Americas  Keith Gwozdz  has joined ED&F Man Capital Markets as vice president of metals  according to his LinkedIn profile  the latest senior executive to leave the U.S. broker's base metals trading team.,topStory,Unknown
DTYS,iPath US Treasury 10-year Bear ETN,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
DTUS,iPath US Treasury 2-year Bear ETN,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
DTUL,iPath US Treasury 2-year Bull ETN,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
DFVS,iPath US Treasury 5-year Bear ETN,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
DFVL,iPath US Treasury 5-year Bull ETN,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
FLAT,iPath US Treasury Flattener ETN,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
DLBS,iPath US Treasury Long Bond Bear ETN,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
STPP,iPath US Treasury Steepener ETN,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
LONE,Lonestar Resources US Inc,20180524,BRIEF-Lonestar Announces Increase In Borrowing Base To $190 Mln ,* LONESTAR ANNOUNCES INCREASE IN BORROWING BASE TO $190 MILLION,topStory,Unknown
MAR,Marriott International,20180524,BRIEF-Marriott's Unit Sells Resorts For About $131 Million ,* MARRIOTT SAYS UNIT SOLD SHERATON FIJI RESORT  WESTIN DENARAU ISLAND RESORT & SPA  FIJI AND ASSOCIATED GOLF FACILITIES FOR ABOUT $131 MILLION - SEC FILING Source text : [https://bit.ly/2IKjq7a] Further company coverage:,topStory,Unknown
MCHP,Microchip Technology Incorporated,20180524,BRIEF-Microchip Technology Inc prices $2 bln note offering ,* PRICING OF TWO SERIES OF ITS NOTES IN AN AGGREGATE PRINCIPAL AMOUNT OF $2.0 BILLION IN AN UNREGISTERED OFFERING,topStory,Unknown
NFLX,Netflix Inc,20180524,US STOCKS-Dow  S&P 500 edge down after Trump cancels N.Korea summit; Netflix gains ,* Indexes: Dow down 0.2 pct  S&P down 0.1 pct  Nasdaq up 0.1 pct (Updates to late afternoon),topStory,Unknown
NFLX,Netflix Inc,20180524,BRIEF-Spain's Telefonica To Integrate Netflix Into Its TV And Video Platforms In Latin America ,* TO INTEGRATE NETFLIX INTO ITS TV AND VIDEO PLATFORMS IN LATIN AMERICA,normal,Unknown
NFLX,Netflix Inc,20180524,Payments fintech firm Adyen says to list in Amsterdam in June ,AMSTERDAM  May 24 Adyen  a Dutch company that processes payments for Airbnb  Uber  Spotify and Netflix  on Thursday confirmed it plans to list on the Euronext stock market listing in June.,normal,Unknown
OMER,Omeros Corporation,20180524,BRIEF-Omeros Says Entered Into Settlement Agreement And Consent Judgment With Lupin Ltd and unit Lupin Pharmaceuticals - SEC Filing ,* OMEROS SAYS ENTERED INTO SETTLEMENT AGREEMENT AND CONSENT JUDGMENT WITH LUPIN LTD  SUBSIDIARY LUPIN PHARMACEUTICALS - SEC FILING,topStory,Strong Buy
PEGI,Pattern Energy Group Inc,20180524,BRIEF-Pattern Energy Enters Agreement To Sell Operations In Chile ,* PATTERN ENERGY ENTERS AGREEMENT TO SELL OPERATIONS IN CHILE,topStory,Unknown
PERY,Perry Ellis International Inc,20180524,BRIEF-Perry Ellis Special Committee Issues Statement ,* PERRY ELLIS INTERNATIONAL SAYS SPECIAL COMMITTEE NOTED NO DECISION HAS BEEN MADE WITH RESPECT TO CO'S RESPONSE TO GEORGE FELDENKREIS PROPOSAL Source text for Eikon: Further company coverage:,topStory,Unknown
BPOP,Popular Inc,20180524,BRIEF-Popular Inc Announces Early Termination Of FDIC Shared-Loss Agreements ,* POPULAR ANNOUNCES EARLY TERMINATION OF FDIC SHARED-LOSS AGREEMENTS,topStory,Unknown
PTLA,Portola Pharmaceuticals Inc,20180524,BRIEF-Portola Pharmaceuticals Receives $100 Mln Milestone Payment From Healthcare Royalty Partners For FDA Approval Of Andexxa ,* PORTOLA PHARMACEUTICALS RECEIVES $100 MILLION MILESTONE PAYMENT FROM HEALTHCARE ROYALTY PARTNERS FOR FDA APPROVAL OF ANDEXXA® Source text for Eikon: Further company coverage:,topStory,Unknown
QCOM,QUALCOMM Incorporated,20180524,Canada blocks Chinese takeover of Aecon on national security grounds ,Canada has blocked a proposed C$1.51 billion ($1.18 billion)  takeover of construction company Aecon  by a Chinese state builder on national security grounds  underscoring rising wariness of Chinese firms buying up assets in Western countries.,normal,Unknown
QUIK,QuickLogic Corporation,20180524,BRIEF-QuickLogic Corp Announces Pricing Of $15.5 Mln Public Offering Of Stock And Warrants ,* QUICKLOGIC CORPORATION ANNOUNCES PRICING OF $15.5 MILLION PUBLIC OFFERING OF COMMON STOCK AND WARRANTS,topStory,Sell
RP,RealPage Inc,20180524,BRIEF-RealPage Says Pricing Of Follow On Public Offering Of 7 Mln Shares At $57.00 Per Share ,* REALPAGE ANNOUNCES PRICING OF FOLLOW-ON PUBLIC OFFERING OF COMMON STOCK,topStory,Sell
REPH,Recro Pharma Inc,20180524,Recro Pharma shares plummet after FDA rejects non-opioid pain shot ,Recro Pharma's shares dropped more than 50 percent on Thursday after the U.S. Food and Drug Administration declined to approve the drugmaker's non-opioid shot IV meloxicam  saying the pain-relieving effect did not meet expectations.,topStory,Strong Buy
REPH,Recro Pharma Inc,20180524,UPDATE 2-Recro Pharma shares plummet after FDA rejects non-opioid pain shot ,* FDA says drug's pain-relieving effect did not meet expectations,normal,Strong Buy
REPH,Recro Pharma Inc,20180524,BRIEF-Recro Pharma Receives Complete Response Letter From FDA ,* RECRO PHARMA RECEIVES COMPLETE RESPONSE LETTER FROM THE FDA,normal,Unknown
REPH,Recro Pharma Inc,20180524,FDA declines to approve Recro Pharma's non-opioid pain shot ,The U.S. Food and Drug Administration on Thursday declined to approve Recro Pharma's IV meloxicam noting the pain-relieving effect of the drug did not meet its expectations.,normal,Unknown
RYAAY,Ryanair Holdings plc,20180524,UPDATE 2-Norwegian Air CEO says summer bookings strong  well covered with pilots ,* Ryanair says it has not made an approach (Adds Ryanair comment  updates shares),topStory,Unknown
RYAAY,Ryanair Holdings plc,20180524,Ryanair says has never made an approach for Norwegian Air ,DUBLIN Ryanair  has never made an approach for Norwegian Air  and does not intend to  the Irish airline said on Thursday  disputing claims made by the chief executive of its rival budget carrier.,normal,Unknown
SAFM,Sanderson Farms Inc,20180524,BRIEF-Sanderson Farms Q2 Earnings Per Share $1.84 ,* SANDERSON FARMS  INC. REPORTS RESULTS FOR SECOND QUARTER OF FISCAL 2018,topStory,Unknown
SINA,Sina Corporation,20180524,REFILE-Chinese internet firm Sina plans secondary listing in HK - sources ,* Sina is working with advisers on the proposed listing -sources,topStory,Sell
SPWH,Sportsman&#39;s Warehouse Holdings Inc,20180524,BRIEF-Sportsman's Warehouse Holdings Reports Q1 Loss Per Share $0.14 ,* SPORTSMAN'S WAREHOUSE HOLDINGS  INC. ANNOUNCES FIRST QUARTER 2018 FINANCIAL RESULTS,topStory,Sell
SPWH,Sportsman&#39;s Warehouse Holdings Inc,20180524,BRIEF-Sportsman's Warehouse Holdings Announces Amendment Of Revolving Credit Facility And Refinancing Of Term Loan ,* SPORTSMAN'S WAREHOUSE HOLDINGS  INC. ANNOUNCES AMENDMENT OF REVOLVING CREDIT FACILITY AND REFINANCING OF TERM LOAN,normal,Unknown
TSLA,Tesla Inc ,20180524,Tesla's Musk bashes media  proposes credibility check ,Tesla Inc Chief Executive Elon Musk gained the support on Thursday of more than half a million people on Twitter for plans to create a website evaluating journalists' credibility  spurred by his frustration at media reports about the electric car maker. | Video ,topStory,Strong Buy
TSLA,Tesla Inc ,20180524,UPDATE 1-Tesla's Musk bashes media  proposes credibility check ,May 24 Tesla Inc Chief Executive Elon Musk gained the support on Thursday of more than half a million people on Twitter for plans to create a website evaluating journalists' credibility  spurred by his frustration at media reports about the electric car maker.,normal,Strong Buy
TSLA,Tesla Inc ,20180524,UAW accuses Musk of threatening Tesla workers over unionization ,The United Auto Workers union (UAW) has filed a complaint accusing Tesla Inc Chief Executive Elon Musk of illegally threatening to take away benefits from workers who join the union.,normal,Unknown
TSLA,Tesla Inc ,20180524,UPDATE 2-UAW accuses Musk of threatening Tesla workers over unionization ,May 24 The United Auto Workers union (UAW) has filed a complaint accusing Tesla Inc Chief Executive Elon Musk of illegally threatening to take away benefits from workers who join the union.,normal,Unknown
TSLA,Tesla Inc ,20180524,Union accuses Tesla CEO Musk of threatening workers ,May 24 The United Auto Workers International Union (UAW) has filed a complaint accusing Tesla Inc Chief Executive Elon Musk of illegally threatening to take away benefits from workers who join the union.,normal,Sell
FOX,Twenty-First Century Fox Inc,20180524,Deals of the day-Mergers and acquisitions ,May 24 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Thursday:,normal,Unknown
FOX,Twenty-First Century Fox Inc,20180524,PRESS DIGEST -Wall Street Journal - May 24 ,May 24 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal,Unknown
FOX,Twenty-First Century Fox Inc,20180524,Comcast prepares to top Disney's $50 billion offer for Fox ,Comcast Corp  confirmed on Wednesday it was preparing a higher  all-cash offer for most of the media assets of Twenty-First Century Fox   setting up a bidding war with rival Walt Disney Co   which already has agreed to a $52-billion deal with Fox. | Video ,normal,Unknown
FOXA,Twenty-First Century Fox Inc,20180524,Deals of the day-Mergers and acquisitions ,May 24 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Thursday:,normal,Unknown
FOXA,Twenty-First Century Fox Inc,20180524,PRESS DIGEST -Wall Street Journal - May 24 ,May 24 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal,Unknown
