AAPL,Apple Inc,20180619,Apple CEO to advocate end to 'inhumane' immigrant children separation:  Irish Times ,DUBLIN Apple  Chief Executive Tim Cook has described the separation of children from immigrant parents at the U.S.-Mexico border as "inhumane" and promised to be a "constructive voice" in seeking to end the issue  the Irish Times newspaper reported.,topStory,Unknown
ACIA,Acacia Communications Inc,20180619,UPDATE 3-ZTE  U.S. suppliers shares tank after Senate puts Trump reprieve in doubt ,* Over $7.4 bln lost in ZTE market value since share trade resumed,normal,Unknown
AMZN,Amazoncom Inc,20180619,Amazon's Alexa will now butler at Marriott hotels ,Amazon.com Inc said on Tuesday that it has partnered with Marriott International Inc to help increase guest access to amenities with Alexa  through its voice-controlled device Echo  in an attempt to expand its presence in the hospitality industry. | Video ,topStory,Unknown
AMZN,Amazoncom Inc,20180619,UPDATE 1-Amazon's Alexa will now butler at Marriott hotels ,June 19 Amazon.com Inc said on Tuesday that it has partnered with Marriott International Inc to help increase guest access to amenities with Alexa  through its voice-controlled device Echo  in an attempt to expand its presence in the hospitality industry.,normal,Unknown
AMZN,Amazoncom Inc,20180619,Amazon's Alexa will now butler at Marriott hotels ,June 19 Amazon.com Inc said on Tuesday that it has partnered with Marriott International Inc to help increase guest access to amenities with Alexa  through its voice-controlled device Echo  in an attempt to expand its presence in the hospitality industry.,normal,Unknown
BA,Boeing Company (The),20180619,FedEx orders Boeing freighters for $6.6 billion ,FedEx Express  a unit of package delivery company FedEx Corp   has ordered 24 medium and large freighters from Boeing Co   the world's biggest planemaker said on Tuesday  as e-commerce demand boosts air freight business.,topStory,Unknown
BA,Boeing Company (The),20180619,FedEx orders Boeing freighters for $6.6 bln ,June 19 FedEx Express  a unit of package delivery company FedEx Corp  has ordered 24 medium and large freighters from Boeing Co  the world's biggest planemaker said on Tuesday  as e-commerce demand boosts air freight business.,normal,Unknown
BA,Boeing Company (The),20180619,Ethiopian Airlines eyes orders at Farnborough air show ,BRUSSELS  June 19 Ethiopian Airlines may decide on possible orders for the Boeing 787 Dreamliner and smaller CSeries or Embraer E2 jets at the Farnborough air show  the African airline's chief executive said.,normal,Sell
BAC,Bank of America Corporation,20180619,Merrill Lynch to pay $42 million for misleading customers -U.S. SEC ,WASHINGTON  June 19 Bank of America Corp subsidiary Merrill Lynch will pay a $42 million penalty for lying to customers about how it handled their orders  the top U.S. securities regulator said on Tuesday.,topStory,Unknown
CBS,CBS Corporation,20180619,CBS to expand 'Star Trek' with five-year deal for new TV shows ,LOS ANGELES U.S. broadcast network CBS will expand the popular "Star Trek" science-fiction franchise with new series  mini-series and animation under a production deal announced on Tuesday.,topStory,Sell
