TSLA,Tesla Inc ,20180526,Tesla seeks to dismiss securities fraud lawsuit: U.S. court document ,SAN FRANCISCO Tesla Inc on Friday asked a court to dismiss a securities fraud lawsuit by shareholders who said the electric vehicle maker gave false public statements about the progress of producing its new Model 3 sedan.,topStory,Unknown
TSLA,Tesla Inc ,20180526,Tesla seeks to dismiss securities fraud lawsuit -U.S. court document ,SAN FRANCISCO  May 25 Tesla Inc on Friday asked a court to dismiss a securities fraud lawsuit by shareholders who said the electric vehicle maker gave false public statements about the progress of producing its new Model 3 sedan.,normal,Sell
RACE,Ferrari NV,20180526,Motor racing: F1 governing body clears Ferrari of suspicion ,MONACO Formula One's governing body has cleared Ferrari of any suspicion of cheating after rivals questioned the Formula One team's energy recovery system.,topStory,Unknown
RACE,Ferrari NV,20180526,Motor racing-F1 governing body clears Ferrari of suspicion ,MONACO  May 26 Formula One's governing body has cleared Ferrari of any suspicion of cheating after rivals questioned the Formula One team's energy recovery system.,normal,Unknown
