SSNC,SS&C Technologies Holdings Inc,20121011,Investors cut back on hedge funds despite rally ,LONDON Hedge fund clients pulled out more money than they put in over the past month in spite of a strong performance  in a possible sign of nerves that the parlous state of major economies could hit their returns.,topStory
CG,The Carlyle Group LP,20121011,Obama not "anti-business": Carlyle's Rubenstein ,Carlyle Group LP co-founder David Rubenstein said President Barack Obama's economic plans are not anti-business  countering criticism from his Republican rival Mitt Romney  who like Rubenstein is a veteran of the private equity business.,topStory
CG,The Carlyle Group LP,20121011,Factbox: Lawsuit accuses buyout firms of collusion ,Top executives at some of the world's largest private equity firms  including KKR & Co LP  and Blackstone Group LP   sent emails that allegedly show them plotting to scoop up companies on the cheap during last decade's buyout boom  according to court documents unsealed on Wednesday.,normal
TCGP,The Carlyle Group LP,20121011,Obama not "anti-business": Carlyle's Rubenstein ,Carlyle Group LP co-founder David Rubenstein said President Barack Obama's economic plans are not anti-business  countering criticism from his Republican rival Mitt Romney  who like Rubenstein is a veteran of the private equity business.,topStory
TCGP,The Carlyle Group LP,20121011,Factbox: Lawsuit accuses buyout firms of collusion ,Top executives at some of the world's largest private equity firms  including KKR & Co LP  and Blackstone Group LP   sent emails that allegedly show them plotting to scoop up companies on the cheap during last decade's buyout boom  according to court documents unsealed on Wednesday.,normal
ALK,Alaska Air Group Inc,20121011,Alaska Airlines to order 50 Boeing aircraft - WSJ ,Oct 11 Alaska Air Group Inc  parent company of Alaska Airlines  will order 50 Boeing Co 737 single-aisle jetliners on Thursday  the Wall Street Journal reported  citing two people familiar with the matter.,topStory
AA,Alcoa Corporation,20121011,BRIEF-Moody's: Alcoa's weak Q3 performance is credit negative ,Oct 11 Alcoa Inc :  * Moody's says alcoa's weak third quarter 2012 performance is credit negative,topStory
AIG,American International Group Inc,20121011,U.S. insurance giant AIG to sponsor NZ's All Blacks ,WELLINGTON American-based insurance company American International Group Inc it to sponsor the world champion New Zealand All Blacks rugby team  the company said on Friday.,topStory
AIG,American International Group Inc,20121011,Rugby-U.S. insurance giant AIG to sponsor NZ's All Blacks ,WELLINGTON  Oct 12 American-based insurance company American International Group Inc it to sponsor the world champion New Zealand All Blacks rugby team  the company said on Friday.,normal
AMP,AMERIPRISE FINANCIAL SERVICES INC,20121011,ING Asset Management's Asia Pacific CEO Bailey to leave ,HONG KONG  Oct 11 ING Investment Management's Asia Pacific Chief Executive Officer Grant Bailey is leaving the company  Bailey said on Thursday.,topStory
APO,Apollo Global Management LLC,20121011,Shares of Realogy soar 22 percent in market debut ,Shares of Realogy Inc  soared 22 percent during their market debut on Thursday  as investors bet on the growth of the housing market.,topStory
T,AT&T Inc,20121011,BRIEF-AMD shares extend decline  down 9.7 pct after the bell ,NEW YORK  Oct 11 Advanced Micro Devices Inc :  * Shares extend decline  down 9.7 percent after the bell,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20121011,BBVA makes U-turn on bond call policy ,LONDON  Oct 11 (IFR) - BBVA shifted its stance of calling subordinated bonds at the earliest opportunity  as Spain's second largest bank struggles to fund at sustainable levels in the wholesale markets.,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20121011,Spain's BBVA offers to buy out subordinated bonds worth 2.8 bln euro ,MADRID  Oct 11 Spain's second largest bank BBVA  said on Thursday it was offering to buyout subordinated bonds worth up to 2.8 billion euros ($3.6 billion) in an effort to strengthen its balance sheet and debt portfolio.,normal
BCH,Banco De Chile,20121011,Banco de Chile Jan-Sept profit $692 mln  stable yr/yr ,SANTIAGO  Oct 11 Banco de Chile posted a 327.910 billion peso (US$692.1 million) profit in the January-September period  broadly flat compared with last year  as higher provisions and operational costs offset a revenue increase  the bank said on its website on Thursday.,topStory
SAN,Banco Santander SA,20121011,New Issue-Nestle Finance prices 500 mln euro 2016 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 50.1bp,topStory
BAC,Bank of America Corporation,20121011,BofA mortgage workforce swells even as it tightens belt ,The Bank of America Corp unit that handles troubled home loans has grown more than tenfold since the bank bought ailing mortgage lender Countrywide Financial in 2008  documents obtained by Reuters show  shining new light on the scale of the clean-up the purchase entailed.,topStory
BLK,BlackRock Inc,20121011,PRESS DIGEST - Financial Times - Oct 12 ,Indonesia's Bakrie family has proposed splitting from financier Nat Rothschild and Bumi Plc after news of an inquiry into possible wrongdoing.,topStory
BLK,BlackRock Inc,20121011,Analysis: Fund firms cut back on new ETFs  closing more ,NEW YORK Fund companies are growing more wary of introducing new exchange-traded funds  and more willing to kill those that have not caught on  as they grapple with a price war in an overcrowded $1.2 trillion market dominated by the three largest providers.,normal
BA,Boeing Company (The),20121011,Europe accuses U.S. of failing to cut Boeing aid ,BRUSSELS The European Union accused the United States on Thursday of ignoring a World Trade Organisation ruling to stop subsidies to planemaker Boeing Co  and asked the Geneva-based body to investigate  prolonging the world's largest trade dispute.,topStory
BA,Boeing Company (The),20121011,UPDATE 3-Europe accuses U.S. of failing to cut Boeing aid ,* U.S. said in September it had removed subsidies to Boeing,normal
BA,Boeing Company (The),20121011,Europe accuses U.S. of failing to cut Boeing aid ,BRUSSELS The European Union accused the United States on Thursday of ignoring a World Trade Organization ruling to stop subsidies to planemaker Boeing  and asked the Geneva-based body to investigate  prolonging the world's largest trade dispute.,normal
BA,Boeing Company (The),20121011,EU asks for WTO panel into Boeing subsidy dispute ,BRUSSELS  Oct 11 The European Commission said on Thursday it has asked the World Trade Organisation to set up a panel to look into what Brussels sees as the United States' refusal to stop subsidies to planemaker Boeing in the world's largest trade dispute.,normal
BA,Boeing Company (The),20121011,Alaska Airlines orders 50 Boeing jets worth $5 billion ,U.S. carrier Alaska Airlines said on Thursday it will buy 50 737 single-aisle jetliners  worth $5 billion at list prices  from Boeing Co  in its largest order yet.,normal
BA,Boeing Company (The),20121011,UPDATE 2-Alaska Airlines orders 50 Boeing jets worth $5 billion ,Oct 11 U.S. carrier Alaska Airlines said on Thursday it will buy 50 737 single-aisle jetliners  worth $5 billion at list prices  from Boeing Co in its largest order yet.,normal
BA,Boeing Company (The),20121011,Alaska Airlines orders 50 Boeing aircraft ,Alaska Airlines said it will buy 50 Boeing 737 single-aisle jetliners  worth $5 billion at list prices  in its largest order yet.,normal
BA,Boeing Company (The),20121011,Alaska Airlines to order 50 Boeing aircraft - WSJ ,Oct 11 Alaska Air Group Inc  parent company of Alaska Airlines  will order 50 Boeing Co 737 single-aisle jetliners on Thursday  the Wall Street Journal reported  citing two people familiar with the matter.,normal
BP,BP plc,20121011,PRESS DIGEST - Financial Times - Oct 12 ,Indonesia's Bakrie family has proposed splitting from financier Nat Rothschild and Bumi Plc after news of an inquiry into possible wrongdoing.,topStory
BP,BP plc,20121011,BP to export US crude to Canada  Shell seeks permit ,NEW YORK/HOUSTON Oil major BP Plc has secured U.S. government permission to ship U.S. crude oil to Canada  and Royal Dutch Shell has applied for an export license  as rising production in the world's top oil consumer upends global energy flows.,normal
