ALDR,Alder BioPharmaceuticals Inc,20150515,BRIEF-Alder Biopharma says its single IV dose of ALD403 shows efficacy in treating migraine ,* Announced six-month follow-up data from phase 2 proof-of-concept clinical trial of ald403,topStory
AAPL,Apple Inc,20150515,Top U.S. hedge funds continue to dump Apple stakes amid rally ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Leon Cooperman's Omega Advisors and Philippe Laffont's Coatue Management  continued to reduce or slash stakes altogether in Apple Inc during the first quarter  as shares of the iPhone maker rallied.,normal
AAPL,Apple Inc,20150515,HIGHLIGHTS-Top U.S. hedge funds continue to dump Apple  stakes ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Leon Cooperman's Omega Advisors and Philippe Laffont's Coatue Management  continued to reduce or slash stakes altogether in Apple Inc during the first quarter  according to regulatory filings.,normal
AAPL,Apple Inc,20150515,At Sharp  decline marked by over-confidence  drift ,TOKYO In private conversations early last year  executives at Japanese display maker Sharp Corp dubbed their new client "winning horse"  reckoning fast-growing Chinese smartphone maker   Xiaomi would be a sure and lucrative bet.,normal
AAPL,Apple Inc,20150515,At Sharp  decline marked by over-confidence  drift , ,normal
AAPL,Apple Inc,20150515,Accessories for Apple's HomeKit to hit stores next month ,The first batch of home automation accessories  such as thermostats and garage door openers  compatible with Apple Inc’s software platform will go on sale in June  the tech company said Thursday.,normal
AMAT,Applied Materials Inc,20150515,Memory chip demand drives Applied Materials' revenue beat ,Applied Materials Inc   the No. 1 maker of machinery used to make semiconductor chips  posted quarterly profit and revenue above market estimates  largely driven by demand from makers of memory chips.,topStory
AMAT,Applied Materials Inc,20150515,UPDATE 2-Memory chip demand drives Applied Materials' revenue beat ,May 14 Applied Materials Inc  the No. 1 maker of machinery used to make semiconductor chips  posted quarterly profit and revenue above market estimates  largely driven by demand from makers of memory chips.,normal
ARGX,argenx SE,20150515,BRIEF-Argen X Q1 net loss widens to 3 mln euros ,* Q1 revenue 1.2 million euros ($1.37 million) versus 341 000 euros year ago,topStory
CAR,Avis Budget Group Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
CSCO,Cisco Systems Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
CORE,Core-Mark Holding Company Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
CY,Cypress Semiconductor Corporation,20150515,Integrated Silicon says expects to hold talks with Cypress Semiconductor ,Integrated Silicon Solution Inc  said on Friday it expected to hold talks with Cypress Semiconductor Corp  regarding a buyout offer from its fellow chipmaker.,topStory
CY,Cypress Semiconductor Corporation,20150515,Integrated Silicon says expects to hold talks with Cypress Semi ,May 15 Integrated Silicon Solution Inc  said on Friday it expected to hold talks with Cypress Semiconductor Corp regarding a buyout offer from its fellow chipmaker.,normal
EBAY,eBay Inc,20150515,HIGHLIGHTS-Hedge funds cut eBay  Leonard Green hot on Shake Shack ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Dan Loeb's Third Point LLC and Farallon Capital Management  trimmed some of their equity exposure in eBay Inc   but kept high positions in the e-commerce company's shares during the first quarter  according to regulatory filings.,topStory
EBAY,eBay Inc,20150515,HIGHLIGHTS-U.S. hedge funds trim eBay  Leonard Green hot on Shake Shack ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Dan Loeb's Third Point LLC and Farallon Capital Management  trimmed some of their equity exposure in eBay Inc  but kept high stake positions in the e-commerce company's shares during the first quarter  according to regulatory filings.,normal
EBAYL,eBay Inc,20150515,HIGHLIGHTS-Hedge funds cut eBay  Leonard Green hot on Shake Shack ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Dan Loeb's Third Point LLC and Farallon Capital Management  trimmed some of their equity exposure in eBay Inc   but kept high positions in the e-commerce company's shares during the first quarter  according to regulatory filings.,topStory
EBAYL,eBay Inc,20150515,HIGHLIGHTS-U.S. hedge funds trim eBay  Leonard Green hot on Shake Shack ,NEW YORK  May 15 Top U.S. hedge fund management firms  including Dan Loeb's Third Point LLC and Farallon Capital Management  trimmed some of their equity exposure in eBay Inc  but kept high stake positions in the e-commerce company's shares during the first quarter  according to regulatory filings.,normal
LOCO,El Pollo Loco Holdings Inc,20150515,US STOCKS-Wall St slips after weak economic data ,* Indexes down: Dow 0.1 pct  S&P 0.1 pct  Nasdaq 0.2 pct   (Adds details  changes comment  updates prices),topStory
LOCO,El Pollo Loco Holdings Inc,20150515,US STOCKS-Wall St little changed as industrial output falls ,* Indexes: Dow up 0.05 pct  S&P up 0.01 pct  Nasdaq down 0.01 pct   (Updates to open),normal
FB,Facebook Inc,20150515,Facebook 'tramples European privacy law': Belgian watchdog ,BRUSSELS Belgium's privacy watchdog accused Facebook  on Friday of trampling on European privacy laws by tracking people online without their consent and dodging questions from national regulators.,topStory
IEP,Icahn Enterprises LP,20150515,Carl Icahn invests $100 million in ride-sharing service Lyft ,In an uncharacteristic move  activist investor Carl Icahn's Icahn Enterprises LP  made a $100 million investment in Lyft Inc.  adding momentum to the ride-sharing company's rapid expansion but leaving its cash pile far behind rival Uber.,topStory
IEP,Icahn Enterprises LP,20150515,REFILE-UPDATE 2-Carl Icahn invests $100 mln in ride-sharing service Lyft ,May 15 In an uncharacteristic move  activist investor Carl Icahn's Icahn Enterprises LP made a $100 million investment in Lyft Inc.  adding momentum to the ride-sharing company's rapid expansion but leaving its cash pile far behind rival Uber.,normal
IEP,Icahn Enterprises LP,20150515,Carl Icahn invests $100 mln in ride-sharing service Lyft ,May 15 Ride-sharing company Lyft Inc said it raised $150 million  led by a $100 million investment from activist investor Carl Icahn's Icahn Enterprises LP.,normal
NSIT,Insight Enterprises Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
TILE,Interface Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
LSTR,Landstar System Inc,20150515,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 15  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.             ** For,normal
LBTYA,Liberty Global plc,20150515,UPDATE 1-Buffett's Berkshire adds to favorites IBM  Wells Fargo ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co  and International Business Machines Corp.,normal
LBTYB,Liberty Global plc,20150515,UPDATE 1-Buffett's Berkshire adds to favorites IBM  Wells Fargo ,May 15 Warren Buffett's Berkshire Hathaway Inc  on Friday said it has boosted its holdings in some of the billionaire's favorite companies  including Wells Fargo & Co  and International Business Machines Corp.,normal
