AXAS,Abraxas Petroleum Corporation,20170216,BRIEF-Abraxas says proved reserves grew 1.5 mmboe to 44.7 mmboe ,* Proved reserves grew 1.5 mmboe to 44.7 mmboe for year ending Dec. 31  2016,topStory
ACRX,AcelRx Pharmaceuticals Inc,20170216,BRIEF-Acelrx Pharmaceuticals appoints Vincent Angotti as CEO ,* Acelrx Pharmaceuticals appoints Vincent J. Angotti chief executive officer,topStory
ADES,Advanced Emissions Solutions Inc,20170216,BRIEF-Advanced Emissions Solutions receives order and final judgment on lawsuit filed in federal court in Denver ,* Advanced Emissions Solutions Inc - on Feb. 10  ADES  received order and final judgment that lawsuit filed in federal court in Denver  Colorado was settled  Source text:(http://bit.ly/2lTFGAI) Further company coverage:,topStory
AGIO,Agios Pharmaceuticals Inc,20170216,BRIEF-Agios says cash  marketable securities were $573.6 mln as of Dec. 31 ,* Agios reports fourth quarter and full year 2016 financial results and highlights key 2017 milestones,topStory
AIMT,Aimmune Therapeutics Inc,20170216,BRIEF-Aimmune Therapeutics provides update on ongoing AR101 phase 3 program for peanut allergy ,* Aimmune therapeutics provides update on ongoing ar101 phase 3 program for peanut allergy based on fda feedback,topStory
AKER,Akers Biosciences Inc,20170216,BRIEF-Akers Biosciences allowed U.S. patent for Akers Wellness tests cartridge ,* US patent trademark office allowed patent covering akers bio's proprietary cartridge for optical scanning device,topStory
ALXN,Alexion Pharmaceuticals Inc,20170216,UPDATE 3-Alexion Pharma's revenue forecast allays investor fears ,* 2017 rev forecast just under estimates  but reassuring-analysts,topStory
ALXN,Alexion Pharmaceuticals Inc,20170216,BRIEF-Alexion interim CEO says looking for opportunities in M&A front ,* Alexion CFO says "we're preparing for potential tax reform": conf call,normal
ALXN,Alexion Pharmaceuticals Inc,20170216,Alexion Pharma revenue forecast allays fears about Soliris' future ,Alexion Pharmaceuticals Inc  forecast 2017 revenue that will likely quell investor concerns  as the drugmaker looks to steady the ship following the recent exits of its chief executive and chief financial officer.,normal
ALXN,Alexion Pharmaceuticals Inc,20170216,BRIEF-Alexion Pharmaceuticals posts Q4 adj. earnings $1.26/shr ,* Alexion reports fourth quarter and full year 2016 results and provides financial guidance for 2017,normal
ALXN,Alexion Pharmaceuticals Inc,20170216,Alexion Pharma's revenue rises 18.5 pct ,Feb 16 Alexion Pharmaceuticals Inc  reported an 18.5 percent rise in fourth-quarter revenue  helped by demand for its costly rare blood disorder drug Soliris.,normal
GOOG,Alphabet Inc,20170216,Telenor to roll out Google's new messaging service in Asia  Europe ,Alphabet Inc's Google said on Thursday it partnered with Telenor ASA to roll out Rich Communications Services (RCS)  an upgraded messaging service  to the Norwegian telecoms company's subscribers in Asia and Europe.,topStory
GOOG,Alphabet Inc,20170216,UPDATE 1-Telenor to roll out Google's new messaging service in Asia  Europe ,Feb 16 Alphabet Inc's Google said on Thursday it partnered with Telenor ASA to roll out Rich Communications Services (RCS)  an upgraded messaging service  to the Norwegian telecoms company's subscribers in Asia and Europe.,normal
