BOCH,Bank of Commerce Holdings (CA),20170301,BRIEF-Home Bancshares and Centennial Bank announce completion of acquisition of Bank of Commerce ,* Home Bancshares Inc and Centennial Bank announce completion of the acquisition of the Bank Of Commerce  Source text for Eikon:  Further company coverage:,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20170301,BRIEF-Barclays files for mixed shelf for undisclosed amount with the U.S. SEC ,* Barclays Plc files for mixed shelf for undisclosed amount with the U.S. SEC  Source text for Eikon:  Further company coverage:,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20170301,Barclays hires leveraged finance banker Craig Molson ,NEW YORK - Barclays has hired Craig Molson as co-head of natural resources  power and chemicals leveraged finance  based in New York  according to an internal memo seen by IFR.,normal
BLUE,bluebird bio Inc,20170301,BRIEF-Bluebird Bio announces clinical  biological outcomes ,* Announces clinical and biological outcomes for first patient with sickle cell disease treated with gene therapy,topStory
BMCH,BMC Stock Holdings Inc,20170301,BRIEF-BMC Stock Holdings sees 2017 capex to be $60 mln to $70 mln ,* Sees FY 2017 capex to be $60 million to $70 million - SEC filing  Source text: (http://bit.ly/2mGERLS) Further company coverage:,topStory
BCLI,Brainstorm Cell Therapeutics Inc,20170301,BRIEF-Brainstorm Cell Therapuetics signs MoU with Tel Aviv Sourasky Medical Center ,* Brainstorm Cell Therapuetics-signed MOU with medical research  infrastructure  and health services fund of Tel Aviv Sourasky Medical Center,topStory
CWST,Casella Waste Systems Inc,20170301,BRIEF-Casella Waste Systems posts Q4 adj profit of $0.05/share ,* Sees 2017 adjusted EBITDA between $124 million and $128 million,topStory
CELG,Celgene Corporation,20170301,Celgene  whistleblower pursuing mediation in off-label marketing case ,Celgene Corp and a whistleblower who brought a lawsuit accusing it of promoting its cancer drugs Revlimid and Thalomid for off-label uses have asked the judge presiding over the case not to issue any substantive rulings for 30 days while they pursue mediation.,topStory
CHDN,Churchill Downs Incorporated,20170301,BRIEF-Churchill Downs promotes Brad Blackwell to senior vice president  general counsel ,* Churchill Downs Incorporated promotes Brad Blackwell to senior vice president and general counsel  Source text for Eikon:  Further company coverage:,topStory
CLNE,Clean Energy Fuels Corp,20170301,BP buys Clean Energy's U.S. green gas production assets for $155 million ,LONDON BP  agreed on Wednesday to buy Clean Energy Fuels Corp's  biomethane production assets for $155 million  expanding its huge gas supply portfolio in the United States and showing its shift to less carbon-intensive projects.,topStory
CLNE,Clean Energy Fuels Corp,20170301,UPDATE 1-BP buys Clean Energy's U.S. green gas production assets for $155 mln ,LONDON  March 1 BP agreed on Wednesday to buy Clean Energy Fuels Corp's biomethane production assets for $155 million  expanding its huge gas supply portfolio in the United States and showing its shift to less carbon-intensive projects.,normal
CLNE,Clean Energy Fuels Corp,20170301,BP buys Clean Energy's U.S. green gas business for $155 mln ,LONDON  March 1 BP agreed on Wednesday to buy Clean Energy Fuels Corp's biomethane business for $155 million  expanding its huge gas supply portfolio in the United States and showing its shift to less carbon-intensive projects.,normal
