ACHC,Acadia Healthcare Company Inc,20170609,BRIEF-Acadia Healthcare files for potential stock shelf offering size undisclosed ,* Files for potential stock shelf offering; size undisclosed - SEC filing Source text for Eikon: Further company coverage:,topStory
ACOR,Acorda Therapeutics Inc,20170609,BRIEF-Acorda Therapeutics  in May 2017  filed planned appeal of decision on 4 invalidated patents with U.S. court of appeals for federal circuit ,* Acorda Therapeutics -in May 2017  filed planned appeal of decision on four invalidated patents with united states court of appeals for federal circuit,topStory
GOOG,Alphabet Inc,20170609,SoftBank to buy robotics businesses from Alphabet Inc ,TOKYO SoftBank Group Corp  said it would buy two firms that build walking robots from Google's parent company  Alphabet Inc   adding to the Japanese company's growing artificial intelligence portfolio.,topStory
GOOG,Alphabet Inc,20170609,UPDATE 3-SoftBank to buy robotics businesses from Alphabet Inc ,* Boston Dynamics  Schaft produce walking robots (Adds source comment on assets),normal
GOOG,Alphabet Inc,20170609,SoftBank unit agrees to buy Boston Dynamics from Alphabet Inc ,June 8 SoftBank Group Corp said on Thursday that a subsidiary of the company had agreed to buy robotics firm Boston Dynamics from Alphabet Inc.,normal
GOOG,Alphabet Inc,20170609,BRIEF-SoftBank announces agreement to acquire Boston Dynamics ,* Entered into a definitive agreement to acquire robotics pioneer Boston Dynamics from Alphabet Inc,normal
GOOGL,Alphabet Inc,20170609,SoftBank to buy robotics businesses from Alphabet Inc ,TOKYO SoftBank Group Corp  said it would buy two firms that build walking robots from Google's parent company  Alphabet Inc   adding to the Japanese company's growing artificial intelligence portfolio.,topStory
GOOGL,Alphabet Inc,20170609,UPDATE 3-SoftBank to buy robotics businesses from Alphabet Inc ,* Boston Dynamics  Schaft produce walking robots (Adds source comment on assets),normal
GOOGL,Alphabet Inc,20170609,SoftBank unit agrees to buy Boston Dynamics from Alphabet Inc ,June 8 SoftBank Group Corp said on Thursday that a subsidiary of the company had agreed to buy robotics firm Boston Dynamics from Alphabet Inc.,normal
GOOGL,Alphabet Inc,20170609,BRIEF-SoftBank announces agreement to acquire Boston Dynamics ,* Entered into a definitive agreement to acquire robotics pioneer Boston Dynamics from Alphabet Inc,normal
AMZN,Amazoncom Inc,20170609,BRIEF-Amazon to create more than 1 500 jobs at fulfillment center in North Haven ,* Amazon to create more than 1 500 jobs at fulfillment center in North Haven,topStory
AAL,American Airlines Group Inc,20170609,BRIEF-American Airlines Group reports May traffic results ,* American Airlines Group Inc - company continues to expect its q2 pre-tax margin excluding special items(1) to be between 12 percent and 14 percent.,topStory
AFSI,AmTrust Financial Services Inc,20170609,BRIEF-Amtrust Financial enters agreements to sell shares in National General Holdings ,* Amtrust Financial Services  inc. Enters agreements to sell shares in national general holdings corp.,topStory
AAPL,Apple Inc,20170609,Apple's Cook tells MIT graduates: temper technology with humanity ,CAMBRIDGE  Mass. Apple CEO Tim Cook on Friday warned graduates at MIT  a pioneer in fields like computers and robots  about technology's dehumanizing aspects and urged them to infuse its development with their own values. | Video ,topStory
AAPL,Apple Inc,20170609,US STOCKS-Tech stocks tumble  taking down Nasdaq as big names sink ,* Dow up 0.42 pct  S&P down 0.08 pct  Nasdaq down 1.8 pct (Updates to close with Apple's biggest decline in about 14 months  share details on Alphabet and Facebook),normal
