TWOU,2U Inc,20170703,BRIEF-2U Inc says addendum amended share sale agreement to increase target cash on hand ,* 2U Inc - on june 29  unit  GetSmarter entered addendum in connection with closing of transaction contemplated in share sale agreement,topStory
ACNB,ACNB Corporation,20170703,BRIEF-ACNB Corp reports completion of the acquisition of New Windsor Bancorp ,* ACNB Corporation announces completion of the acquisition of New Windsor Bancorp  Inc. Source text for Eikon: Further company coverage:,topStory
AMD,Advanced Micro Devices Inc,20170703,BRIEF-Advanced Micro Devices appoints Abhi Talwalkar to board ,* AMD appoints Abhi Y. Talwalkar to board of directors Source text for Eikon: Further company coverage:,topStory
AMAT,Applied Materials Inc,20170703,BRIEF-UMC's Xiamen subsidiary acquires machinery equipment from Applied Materials ,* Says Xiamen subsidiary acquires machinery equipment worth T$611 million  ($20.07 million),topStory
APTI,Apptio Inc,20170703,BRIEF-SQN Investors reports 6.3 pct passive stake in Apptio ,* SQN Investors Lp reports 6.3 percent passive stake in Apptio Inc as of June 23 - sec filing Source text for Eikon: Further company coverage:,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20170703,Four former Barclays bankers in court over Qatari deal ,LONDON Four former top Barclays  executives appeared in court in London on Monday to face charges that they conspired to commit fraud during the bank's 12 billion pound ($15.56 billion)emergency fundraising in 2008. | Video ,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20170703,Four former Barclays bankers in court over Qatari deal ,LONDON  July 3 Four former top Barclays executives appeared in court in London on Monday to face charges that they conspired to commit fraud during the bank's 12 billion pound ($15.56 billion)emergency fundraising in 2008.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20170703,CORRECTED-Kenya's Barclays Bank says to shut down seven branches ,NAIROBI  July 3 Barclays Bank of Kenya said on Monday it plans to close seven of its branches in the East African country in October as part of cost cutting measures.,normal
AVGO,Broadcom Limited,20170703,Broadcom wins U.S. antitrust consent to buy Brocade: FTC ,WASHINGTON Chipmaker Broadcom Limited  has won U.S. antitrust approval to buy Brocade Communications Systems   the Federal Trade Commission said on Monday.,topStory
AVGO,Broadcom Limited,20170703,UPDATE 1-Broadcom wins U.S. antitrust consent to buy Brocade -FTC ,WASHINGTON  July 3 Chipmaker Broadcom Limited has won U.S. antitrust approval to buy Brocade Communications Systems  the Federal Trade Commission said on Monday.,normal
AVGO,Broadcom Limited,20170703,Broadcom wins U.S. antitrust consent to buy Brocade with conditions -FTC ,WASHINGTON  July 3 Chipmaker Broadcom Limited has won U.S. antitrust approval to buy Brocade Communications Systems with conditions  the Federal Trade Commission said on Monday.,normal
BRCD,Brocade Communications Systems Inc,20170703,Broadcom wins U.S. antitrust consent to buy Brocade: FTC ,WASHINGTON Chipmaker Broadcom Limited  has won U.S. antitrust approval to buy Brocade Communications Systems   the Federal Trade Commission said on Monday.,topStory
